Site,Subsite,Trapnest,Treatment,Cavity_size,Cavity_number,Straw_ID,Straw_length_mm,Filled_length_mm,Occupant,05-Jun,11-Jun,14-Jun,17-Jun,21-Jun,25-Jun,28-Jun,02-Jul,05-Jul,08-Jul,13-Jul,16-Jul,19-Jul,22-Jul,24-Jul,26-Jul,29-Jul,02-Aug,06-Aug,08-Aug,12-Aug,13-Aug,NOTES
BP,AA,73,Low,medium,1,a,,,,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,no_visit,empty,empty,empty,empty,empty,empty,non_existent,
BP,AA,73,Low,medium,1,b,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,medium,1,c,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,large,2,a,,,,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,no_visit,empty,empty,empty,empty,empty,empty,non_existent,
BP,AA,73,Low,large,2,b,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,large,2,c,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,small,3,a,132,85,resin bee,empty,empty,empty,empty,empty,empty,empty,4 cells,2 cells,2 cells,no change,activity,no change,end cap,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,small,3,b,143,22,heriades,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,empty,1 cell,1 cell + end cap,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,small,3,c,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,empty,empty,empty,non_existent,
BP,AA,73,Low,medium,4,a,,,,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,no_visit,empty,empty,empty,empty,empty,empty,non_existent,
BP,AA,73,Low,medium,4,b,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,medium,4,c,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,large,5,a,,,,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,no_visit,empty,empty,empty,empty,empty,empty,non_existent,
BP,AA,73,Low,large,5,b,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,large,5,c,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,medium,6,a,135,14,resin bee,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,1 cell,1 cell + end cap,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,medium,6,b,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,empty,empty,no_visit,empty,empty,empty,empty,empty,empty,non_existent,
BP,AA,73,Low,medium,6,c,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,large,7,a,,,,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,no_visit,empty,empty,empty,empty,empty,empty,non_existent,
BP,AA,73,Low,large,7,b,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,large,7,c,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,medium,8,a,,,,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,no_visit,empty,empty,empty,empty,empty,empty,non_existent,
BP,AA,73,Low,medium,8,b,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,medium,9,a,133,115,megachile,empty,empty,empty,empty,5 cells,no change,no change,end cap,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,medium,9,b,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,empty,empty,empty,empty,empty,empty,no_visit,empty,empty,empty,empty,empty,empty,non_existent,
BP,AA,73,Low,medium,9,c,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,small,10,a,143,30,heriades,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,1 cell,no_visit,2 cells,end cap,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,small,10,b,133,42,resin bee,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,1 cell,2 cells,no change,end cap,non_existent,
BP,AA,73,Low,small,10,c,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,large,11,a,,,,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,no_visit,empty,empty,empty,empty,empty,empty,non_existent,
BP,AA,73,Low,large,11,b,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,large,11,c,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,medium,12,a,,,,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,no_visit,empty,empty,empty,empty,empty,empty,non_existent,
BP,AA,73,Low,medium,12,b,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,medium,12,c,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,medium,13,a,,,,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,no_visit,empty,empty,empty,empty,empty,empty,non_existent,
BP,AA,73,Low,medium,13,b,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,medium,13,c,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,medium,14,a,133,36,resin bee,empty,empty,empty,empty,empty,empty,empty,empty,3 cells,1 cell + end cap,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,medium,14,b,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,empty,empty,empty,empty,no_visit,empty,empty,empty,empty,empty,empty,non_existent,
BP,AA,73,Low,medium,14,c,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,large,15,a,,,,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,no_visit,empty,empty,empty,empty,empty,empty,non_existent,
BP,AA,73,Low,large,15,b,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,large,15,c,,,,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,no_visit,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,
BP,AA,73,Low,medium,16,a,,,,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,no_visit,empty,empty,empty,empty,empty,empty,non_existent,
