"","Site","Subsite","Treatment","Trapnest","Cavity_number","Straw_ID","Date","Nest_ID","Cavity_ID","Status","Occupant","Good_days","Bee_choice","Available_prior","New_nests_os","New_nests_meg","New_nest_sum","Osmia_ps_prior","Osmia_no_ps_prior","Meg_ps_prior","Meg_no_ps_prior"
"1","BP","A","Low","trapnest_1",10,"a",2023-05-11,"1_10a","1_10","empty","none",3,0,18,0,0,0,0,0,0,0
"2","BP","A","Low","trapnest_1",10,"a",2023-05-12,"1_10a","1_10","empty","none",1,0,18,0,0,0,0,0,0,0
"3","BP","A","Low","trapnest_1",10,"a",2023-05-15,"1_10a","1_10","empty","none",3,0,18,0,0,0,0,0,0,0
"4","BP","A","Low","trapnest_1",10,"a",2023-05-16,"1_10a","1_10","empty","none",1,0,18,0,0,0,0,0,0,0
"5","BP","A","Low","trapnest_1",10,"a",2023-05-17,"1_10a","1_10","empty","none",1,0,18,0,0,0,0,0,0,0
"6","BP","A","Low","trapnest_1",10,"a",2023-05-19,"1_10a","1_10","empty","none",2,0,18,0,0,0,0,0,0,0
"7","BP","A","Low","trapnest_1",10,"a",2023-05-21,"1_10a","1_10","empty","none",1,0,18,0,0,0,0,0,0,0
"8","BP","A","Low","trapnest_1",10,"a",2023-05-22,"1_10a","1_10","empty","none",1,0,18,0,0,0,0,0,0,0
"9","BP","A","Low","trapnest_1",10,"a",2023-05-23,"1_10a","1_10","empty","none",1,0,18,0,0,0,0,0,0,0
"10","BP","A","Low","trapnest_1",10,"a",2023-05-26,"1_10a","1_10","empty","none",2,0,18,0,0,0,0,0,0,0
"11","BP","A","Low","trapnest_1",10,"a",2023-05-28,"1_10a","1_10","empty","none",2,0,18,0,0,0,0,0,0,0
"12","BP","A","Low","trapnest_1",10,"a",2023-05-29,"1_10a","1_10","empty","none",1,0,18,1,0,1,0,0,0,0
"13","BP","A","Low","trapnest_1",10,"a",2023-05-31,"1_10a","1_10","empty","none",2,0,17,0,0,0,1,1,0,0
"14","BP","A","Low","trapnest_1",10,"a",2023-06-02,"1_10a","1_10","empty","none",2,0,17,0,0,0,1,1,0,0
"15","BP","A","Low","trapnest_1",10,"a",2023-06-05,"1_10a","1_10","empty","none",1,0,18,1,0,1,0,0,0,0
