Site,Subsite,Trapnest,Treatment,Cavity_size,Cavity_number,Straw_ID,Nest_ID,Cell_number,Cell_position,Date,Cell_occupant,Species_or_subtype,Collection,Sex,Comments
BP,A,2,Mid,small,1,a,2_1a,1,NA,2023-05-29,parasite,sapyga,in collection - this cell,NA,
BP,A,2,Mid,small,1,a,2_1a,2,NA,2023-05-29,parasite,sapyga,in collection - this cell,NA,
BP,A,2,Mid,small,7,a,2_7a,1,NA,2023-05-31,osmia,pumila,in collection - this cell,female,
BP,A,2,Mid,small,9,a,2_9a,1,NA,2023-05-31,unknown larva,NA,not collected,NA,
BP,A,2,Mid,small,9,a,2_9a,2,NA,2023-05-31,unknown larva,NA,not collected,NA,
BP,A,2,Mid,small,9,a,2_9a,3,NA,2023-05-31,unknown larva,NA,not collected,NA,
BP,A,2,Mid,small,9,a,2_9a,4,NA,2023-05-31,unknown larva,NA,not collected,NA,
BP,A,2,Mid,small,9,a,2_9a,5,NA,2023-05-31,unknown larva,NA,not collected,NA,
BP,A,2,Mid,small,9,a,2_9a,6,NA,2023-05-31,unknown larva,NA,not collected,NA,
BP,A,2,Mid,small,9,a,2_9a,7,NA,2023-06-02,unknown larva,NA,not collected,NA,
BP,A,2,Mid,small,9,b,2_9b,1,NA,2023-06-14,unknown larva,NA,not collected,NA,
BP,A,2,Mid,small,9,b,2_9b,2,NA,2023-06-16,empty,NA,not collected,NA,
BP,A,2,Mid,small,15,b,2_15b,1,NA,2023-05-31,osmia,tersula,not collected,NA,"unsure about cell 1 or 3, but same date. Doing this for all specimens"
BP,A,2,Mid,small,15,b,2_15b,2,NA,2023-05-31,pollen mass,NA,not collected,NA,
BP,A,2,Mid,small,15,b,2_15b,3,NA,2023-05-31,osmia,tersula,in collection - this cell,female,
BP,A,2,Mid,small,16,b,2_16b,1,NA,2023-05-29,parasite,sapyga,not collected,NA,"was mold, now sapyga"
BP,A,2,Mid,small,16,b,2_16b,2,NA,2023-05-29,parasite,sapyga,not collected,NA,
BP,A,2,Mid,small,16,b,2_16b,3,NA,2023-05-29,osmia,tersula,in collection - this cell,female,
BP,A,2,Mid,small,16,b,2_16b,4,NA,2023-05-29,parasite,sapyga,in collection - this cell,NA,
BP,A,2,Mid,small,18,a,2_18a,1,NA,2023-05-15,unknown larva,NA,not collected,NA,
BP,A,2,Mid,small,18,a,2_18a,2,NA,2023-05-15,pollen mass,NA,not collected,NA,
BP,A,2,Mid,small,18,a,2_18a,3,NA,2023-05-15,pollen mass,NA,not collected,NA,
BP,A,2,Mid,small,18,a,2_18a,4,NA,2023-05-15,pollen mass,NA,not collected,NA,
BP,A,2,Mid,small,18,a,2_18a,5,NA,2023-05-15,pollen mass,NA,not collected,NA,
BP,A,2,Mid,small,18,a,2_18a,6,NA,2023-05-22,pollen mass,NA,not collected,NA,
BP,A,2,Mid,small,18,a,2_18a,7,NA,2023-05-22,osmia,NA,not collected,NA,
BP,A,2,Mid,small,18,a,2_18a,8,NA,2023-05-22,unknown larva,NA,not collected,NA,
BP,A,2,Mid,small,18,a,2_18a,9,NA,2023-05-23,unknown larva,NA,not collected,NA,
