Site,Subsite,Trapnest,Treatment,Cavity_size,Cavity_number,Straw_ID,Nest_ID,Cell_position,Date,Cell_occupant,Species_or_subtype,Collection,Sex,Comments
BP,AA,73,Low,small,3,a,73_3a,last cell,2024-07-08,pollen mass,,,,
BP,AA,73,Low,small,3,a,73_3a,not last cell,2024-07-08,pollen mass,,,,
BP,AA,73,Low,small,3,a,73_3a,not last cell,2024-07-05,pollen mass,,,,
BP,AA,73,Low,small,3,a,73_3a,not last cell,2024-07-05,pollen mass,,,,
BP,AA,73,Low,small,3,a,73_3a,not last cell,2024-07-02,pollen mass,,,,
BP,AA,73,Low,small,3,a,73_3a,not last cell,2024-07-02,pollen mass,,,,
BP,AA,73,Low,small,3,a,73_3a,not last cell,2024-07-02,pollen mass,,,,
BP,AA,73,Low,small,3,a,73_3a,not last cell,2024-07-02,pollen mass,,,,
BP,AA,73,Low,small,3,b,73_3b,last cell,2024-08-02,heriades,,in collection,female,
BP,AA,73,Low,small,3,b,73_3b,not last cell,2024-07-29,megachile,,,female,
BP,AA,73,Low,medium,6,a,73_6a,last cell,2024-07-16,pollen mass,,,,
BP,AA,73,Low,medium,6,a,73_6a,not last cell,2024-07-13,pollen mass,,,,
BP,AA,73,Low,medium,9,a,73_9a,last cell,2024-06-21,megachile,relativa,in collection,male,
BP,AA,73,Low,medium,9,a,73_9a,not last cell,2024-06-21,megachile,relativa,in collection,female,
BP,AA,73,Low,medium,9,a,73_9a,not last cell,2024-06-21,megachile,,,,
BP,AA,73,Low,medium,9,a,73_9a,not last cell,2024-06-21,megachile,,,,
BP,AA,73,Low,medium,9,a,73_9a,not last cell,2024-06-21,parasite,coelioxys,in collection,,
BP,AA,73,Low,small,10,a,73_10a,last cell,2024-07-26,unknown larva,,,,
BP,AA,73,Low,small,10,a,73_10a,not last cell,2024-07-26,heriades,,in collection,male,
BP,AA,73,Low,small,10,a,73_10a,not last cell,2024-07-22,heriades,,in collection,female,
BP,AA,73,Low,small,10,b,73_10b,last cell,2024-08-06,pollen mass,,,,
BP,AA,73,Low,small,10,b,73_10b,not last cell,2024-08-06,pollen mass,,,,
BP,AA,73,Low,small,10,b,73_10b,not last cell,2024-08-02,unknown larva,,,,
BP,AA,73,Low,medium,14,a,73_14a,last cell,2024-07-05,unknown larva,,,,
BP,AA,73,Low,medium,14,a,73_14a,not last cell,2024-07-05,pollen mass,,,,
BP,AA,73,Low,medium,14,a,73_14a,not last cell,2024-07-05,pollen mass,,,,
BP,AA,73,Low,medium,14,a,73_14a,not last cell,2024-07-08,pollen mass,,,,
BP,AA,75,High,small,5,b,75_5b,last cell,2024-08-02,empty,,,,wasn't completed
BP,AA,75,High,small,12,b,75_12b,not last cell,2024-07-29,hyleaus,,,female,
BP,AA,75,High,small,12,b,75_12b,not last cell,2024-07-29,hyleaus,,,female,
BP,AA,75,High,small,12,b,75_12b,not last cell,2024-08-02,hyleaus,,in collection,female,
BP,AA,75,High,small,12,b,75_12b,not last cell,2024-08-02,pollen mass,,,,
BP,AA,75,High,small,12,b,75_12b,not last cell,2024-08-08,hyleaus,,in collection,female,
BP,AA,75,High,small,12,b,75_12b,not last cell,2024-08-08,hyleaus,,,female,
BP,AA,75,High,small,12,b,75_12b,not last cell,2024-08-08,hyleaus,,,female,
BP,AA,75,High,small,12,b,75_12b,not last cell,2024-08-08,hyleaus,,,female,
BP,AA,75,High,small,12,b,75_12b,not last cell,2024-08-08,hyleaus,,,female,
BP,AA,75,High,small,12,b,75_12b,not last cell,2024-08-08,hyleaus,,,male,
BP,AA,75,High,small,12,b,75_12b,last cell,2024-08-08,hyleaus,,in collection,male,
BP,AA,75,High,medium,17,b,75_17b,last cell,2024-07-02,parasite,chalcid,in collection,,
BP,AA,75,High,medium,17,b,75_17b,not last cell,2024-07-02,pollen mass,,,,
BP,AA,75,High,medium,17,b,75_17b,not last cell,2024-06-28,parasite,chalcid,in collection,,
BP,AA,75,High,medium,17,b,75_17b,not last cell,2024-06-28,parasite,chalcid,in collection,,
BP,AA,75,High,medium,17,b,75_17b,not last cell,2024-06-25,pollen mass,,,,
BP,AA,75,High,medium,18,a,75_18a,last cell,2024-06-21,parasite,coelioxys,in collection,,
BP,AA,75,High,medium,18,a,75_18a,not last cell,2024-06-21,unknown larva,,,,
BP,AA,75,High,medium,18,a,75_18a,not last cell,2024-06-21,unknown larva,,,,
BP,AA,75,High,medium,18,a,75_18a,not last cell,2024-06-21,unknown larva,,,,
BP,AA,75,High,medium,18,a,75_18a,not last cell,2024-06-21,unknown larva,,,,
BP,AA,75,High,medium,18,a,75_18a,not last cell,2024-06-21,unknown larva,,,,
BP,AA,75,High,medium,18,a,75_18a,not last cell,2024-06-21,unknown larva,,,,
BP,AA,75,High,medium,18,a,75_18a,not last cell,2024-06-21,unknown larva,,,,
BP,AA,75,High,medium,18,a,75_18a,not last cell,2024-06-21,unknown larva,,,,
BP,AB,77,Mid,medium,2,a,77_2a,not last cell,2024-06-21,unknown larva,,,,
BP,AB,77,Mid,medium,2,a,77_2a,not last cell,2024-06-21,unknown larva,,,,
BP,AB,77,Mid,medium,2,a,77_2a,not last cell,2024-06-21,unknown larva,,,,
BP,AB,77,Mid,medium,2,a,77_2a,not last cell,2024-06-21,unknown larva,,,,
BP,AB,77,Mid,medium,2,a,77_2a,not last cell,2024-06-21,unknown larva,,,,
BP,AB,77,Mid,medium,2,a,77_2a,not last cell,2024-06-21,unknown larva,,,,
BP,AB,77,Mid,medium,2,a,77_2a,not last cell,2024-06-21,unknown larva,,,,
BP,AB,77,Mid,medium,2,a,77_2a,not last cell,2024-06-25,megachile,,,male,
BP,AB,77,Mid,medium,2,a,77_2a,last cell,2024-06-28,megachile,relativa,in collection,male,
BP,AB,77,Mid,medium,2,b,77_2b,last cell,2024-08-02,mold,,,,
BP,AB,77,Mid,medium,4,a,77_4a,not last cell,2024-06-05,unknown larva,,,,
BP,AB,77,Mid,medium,4,a,77_4a,not last cell,2024-06-05,unknown larva,,,,
BP,AB,77,Mid,medium,4,a,77_4a,not last cell,2024-06-05,unknown larva,,,,
