"","Site","Subsite","Trapnest","Treatment","Straw_ID","Date","Day_of_year","Filled_length_mm","Straw_length_mm","Nest_ID","Status","Sealed","Nest_parasitized","Occupant","Good_days","Bee_choice","Available_post","New_nests_os","New_nests_meg","New_nests_sum","Osmia_ps_prior","Osmia_no_ps_prior","Meg_ps_prior","Meg_no_ps_prior","Sum_unsealed_os","Sum_unsealed_meg","DP_os_prior","NDP_os_prior","NDP_ps_os_prior","DP_meg_prior","NDP_meg_prior","NDP_ps_meg_prior","Straw_length","Filled_length"
"1","CP","AJ","trapnest_100","Low","a",2024-06-21,173,39,135,"100_10a","2 cells","not sealed","not parasitized","megachile",4,1,17,0,1,1,0,0,0,0,NA,1,0,0,0,0,0,0,135,39
"2","CP","AJ","trapnest_102","High","a",2024-06-21,173,90,124,"102_13a","4 cells","not sealed","not parasitized","megachile",4,1,7,0,1,1,0,0,10,0,NA,1,0,0,0,0,0,10,124,90
"3","CP","AJ","trapnest_102","High","a",2024-06-25,177,75,124,"102_3a","1 cell","not sealed","not parasitized","megachile",1,1,7,0,1,1,0,0,10,1,NA,2,0,0,0,0,1,10,124,75
"4","CP","AK","trapnest_104","Mid","a",2024-07-02,184,46,141,"104_15a","1 cell","not sealed","not parasitized","megachile",3,1,11,0,1,1,0,0,6,1,NA,2,0,0,0,0,1,6,141,46
"5","CP","AK","trapnest_104","Mid","b",2024-07-22,204,21,170,"104_8b","1 cell","not sealed","not parasitized","megachile",3,1,11,0,1,1,0,0,6,2,NA,1,0,0,0,0,2,6,170,21
"6","CP","AK","trapnest_104","Mid","a",2024-07-13,195,20,135,"104_9a","1 cell","not sealed","not parasitized","megachile",2,1,11,0,1,1,0,0,6,1,NA,2,0,0,0,0,1,6,135,20
"7","CP","AL","trapnest_106","Low","a",2024-06-21,173,92,138,"106_10a","3 cells","not sealed","not parasitized","megachile",4,1,17,0,1,1,0,0,0,0,NA,1,0,0,0,0,0,0,138,92
"8","CP","AL","trapnest_107","Mid","a",2024-06-17,169,43,138,"107_9a","6 cells","not sealed","not parasitized","megachile",3,1,11,0,1,1,0,0,6,1,NA,2,0,0,0,1,0,5,138,43
"9","BP","D","trapnest_12","High","b",2023-06-02,153,57.04,106.02,"12_12b","2 cells","not sealed","parasitized","osmia",2,1,6,2,0,2,10.5,3.5,0,0,4,NA,1,2,9,0,0,0,106,57
"10","BP","D","trapnest_12","High","a",2023-05-29,149,116.97,145.25,"12_15a","7 cells","not sealed","parasitized","osmia",1,1,5,2,0,2,11.5,1.5,0,0,2,NA,0,1,11,0,0,0,145,117
"11","BP","D","trapnest_12","High","a",2023-06-02,153,83.98,144.81,"12_18a","5 cells","not sealed","not parasitized","osmia",2,1,6,2,0,2,10.5,3.5,0,0,4,NA,1,2,9,0,0,0,145,84
"12","BP","D","trapnest_12","High","a",2023-05-15,135,115.52,142.83,"12_5a","2 cells","not sealed","not parasitized","osmia",3,1,6,1,0,1,11,0,0,0,1,NA,0,0,11,0,0,0,143,116
"13","BP","D","trapnest_12","High","b",2023-05-29,149,103.97,143.76,"12_6b","9 cells","not sealed","not parasitized","osmia",1,1,5,2,0,2,11.5,1.5,0,0,2,NA,0,1,11,0,0,0,144,104
"14","BP","D","trapnest_12","High","c",2023-06-20,171,51.58,143.84,"12_6c","1 cell","not sealed","parasitized","osmia",3,1,5,2,0,2,11.5,6.5,0,0,3,NA,0,6,11,0,0,0,144,52
"15","BP","D","trapnest_12","High","b",2023-06-14,165,21.9,130.53,"12_9b","2 cells","not sealed","parasitized","osmia",0,1,6,1,0,1,11,6,0,0,2,NA,0,6,11,0,0,0,131,22
"16","BP","E","trapnest_13","Low","a",2023-06-05,156,41.44,140.51,"13_11a","3 cells","not sealed","parasitized","osmia",1,1,12,2,0,2,4.5,4.5,0,0,2,NA,1,3,3,0,0,0,141,41
"17","BP","E","trapnest_13","Low","a",2023-05-29,149,101,137,"13_12a","2 cells","not sealed","not parasitized","osmia",1,1,14,3,0,3,2,2,0,0,3,NA,0,2.5,2.5,0,0,0,137,101
"18","BP","E","trapnest_13","Low","a",2023-06-14,165,19.88,140.03,"13_14a","2 cells + end cap","sealed","parasitized","osmia",0,1,14,3,0,3,2,2,0,0,1,NA,0,2,2,0,0,0,140,20
"19","BP","E","trapnest_13","Low","a",2023-06-14,165,15.4,141.29,"13_16a","2 cells + end cap","sealed","not parasitized","osmia",0,1,14,3,0,3,2,2,0,0,1,NA,0,2,2,0,0,0,141,15
"20","BP","E","trapnest_13","Low","a",2023-05-23,143,105.25,123.3,"13_2a","2 cells","not sealed","not parasitized","osmia",1,1,17,1,0,1,0,0,0,0,1,NA,0,0,0,0,0,0,123,105
"21","BP","E","trapnest_13","Low","b",2023-05-31,151,34.05,146.25,"13_2b","3 cells","not sealed","not parasitized","osmia",2,1,14,1,0,1,3,3,0,0,3,NA,1,2,2,0,0,0,146,34
"22","BP","E","trapnest_13","Low","a",2023-05-29,149,75.74,150.06,"13_4a","6 cells","not sealed","not parasitized","osmia",1,1,14,3,0,3,2,2,0,0,3,NA,0,2.5,2.5,0,0,0,150,76
"23","BP","E","trapnest_13","Low","b",2023-06-02,153,41.56,85.621,"13_4b","4 cells","not sealed","parasitized","osmia",2,1,13,2,0,2,3.5,3.5,0,0,3,NA,1,2,2,0,0,0,86,42
"24","BP","E","trapnest_13","Low","a",2023-06-16,167,9.55,150.06,"13_5a","1 cell + end cap","sealed","parasitized","osmia",1,1,16,1,0,1,1,1,0,0,1,NA,1,0,0,0,0,0,150,10
"25","BP","E","trapnest_13","Low","a",2023-05-29,149,133.33,152.52,"13_7a","9 cells","not sealed","not parasitized","osmia",1,1,14,3,0,3,2,2,0,0,3,NA,0,2.5,2.5,0,0,0,153,133
"26","BP","E","trapnest_13","Low","b",2023-06-05,156,48.93,153,"13_7b","4 cells + end cap","sealed","not parasitized","osmia",1,1,12,2,0,2,4.5,4.5,0,0,2,NA,1,3,3,0,0,0,153,49
"27","BP","E","trapnest_13","Low","a",2023-06-02,153,3.094,147.37,"13_8a","3 cells","not sealed","not parasitized","osmia",2,1,13,2,0,2,3.5,3.5,0,0,3,NA,1,2,2,0,0,0,147,3
"28","BP","E","trapnest_14","Mid","a",2023-05-31,151,32.56,149.7,"14_10a","3 cells","not sealed","not parasitized","osmia",2,1,9,3,0,3,7,2,0,0,3,NA,0,2.5,7.5,0,0,0,150,33
"29","BP","E","trapnest_14","Mid","b",2023-06-05,156,48.98,141.14,"14_10b","6 cells + end cap","sealed","not parasitized","osmia",1,1,11,1,0,1,6,3,0,0,2,NA,0,3,6,0,0,0,141,49
"30","BP","E","trapnest_14","Mid","a",2023-05-29,149,76.22,145.71,"14_12a","7 cells","not sealed","parasitized","osmia",1,1,12,1,0,1,5,0,0,0,1,NA,0,0,5,0,0,0,146,76
"31","BP","E","trapnest_14","Mid","a",2023-05-31,151,67.77,143.11,"14_16a","2 cells","not sealed","not parasitized","osmia",2,1,9,3,0,3,7,2,0,0,3,NA,0,2.5,7.5,0,0,0,143,68
"32","BP","E","trapnest_15","High","a",2023-05-15,135,10.75,143.02,"15_4a","inner wall","not sealed","not parasitized","osmia",3,1,6,1,0,1,11,0,0,0,1,NA,0,0,11,0,0,0,143,11
"33","BP","E","trapnest_15","High","b",2023-05-22,142,8.77,144.32,"15_6b","1 cell + end cap","sealed","not parasitized","osmia",1,1,5,2,0,2,11.5,1.5,0,0,1,NA,0,2,12,0,0,0,144,9
"34","BP","F","trapnest_16","Low","a",2023-05-26,146,44.25,149.85,"16_11a","inner wall","not sealed","not parasitized","osmia",2,1,15,1,0,1,2,2,0,0,3,NA,1,1,1,0,0,0,150,44
"35","BP","F","trapnest_16","Low","a",2023-05-29,149,11.4,142.13,"16_14a","2 cells","not sealed","not parasitized","osmia",1,1,12,4,0,4,3.5,3.5,0,0,3,NA,0,4,4,0,0,0,142,11
"36","BP","F","trapnest_16","Low","a",2023-05-29,149,7.13,140.01,"16_1a","inner wall","not sealed","not parasitized","osmia",1,1,12,4,0,4,3.5,3.5,0,0,3,NA,0,4,4,0,0,0,140,7
"37","BP","F","trapnest_16","Low","b",2023-05-29,149,65.59,143.64,"16_3b","3 cells + end cap","sealed","not parasitized","osmia",1,1,12,4,0,4,3.5,3.5,0,0,3,NA,0,4,4,0,0,0,144,66
"38","BP","F","trapnest_16","Low","a",2023-05-12,132,86.8,140.489,"16_5a","1 cell","not sealed","not parasitized","osmia",1,1,16,1,0,1,1,1,0,0,2,NA,0,1,1,0,0,0,140,87
"39","BP","F","trapnest_16","Low","b",2023-05-23,143,77,133,"16_5b","2 cells","not sealed","not parasitized","osmia",1,1,16,1,0,1,1,1,0,0,2,NA,1,0,0,0,0,0,133,77
"40","BP","F","trapnest_16","Low","c",2023-06-02,153,19.57,142.88,"16_5c","3 cells + end cap","sealed","parasitized","osmia",2,1,14,1,0,1,3,3,0,0,1,NA,0,3,3,0,0,0,143,20
"41","BP","F","trapnest_16","Low","a",2023-05-29,149,41.41,142.06,"16_6a","5 cells + end cap","sealed","not parasitized","osmia",1,1,12,4,0,4,3.5,3.5,0,0,3,NA,0,4,4,0,0,0,142,41
"42","BP","F","trapnest_16","Low","b",2023-05-31,151,58.2,150.21,"16_6b","1 cell + end cap","sealed","not parasitized","osmia",2,1,12,2,0,2,4.5,4.5,0,0,3,NA,0,5,5,0,0,0,150,58
"43","BP","F","trapnest_16","Low","a",2023-05-15,135,26.95,123.63,"16_8a","1 cell","not sealed","parasitized","osmia",3,1,16,1,0,1,1,1,0,0,2,NA,0,1,1,0,0,0,124,27
"44","BP","F","trapnest_16","Low","b",2023-05-31,151,33.96,149.35,"16_8b","2 cells","not sealed","not parasitized","osmia",2,1,12,2,0,2,4.5,4.5,0,0,3,NA,0,5,5,0,0,0,149,34
"45","BP","F","trapnest_17","Mid","b",2023-06-23,174,40.29,134.99,"17_13b","5 cells + end cap","sealed","parasitized","osmia",3,1,7,1,2,3,6,5,2.5,2.5,0,4,0,5,6,0,2,2,135,40
"46","BP","F","trapnest_17","Mid","a",2023-05-26,146,74.49,146.51,"17_15a","8 cells","not sealed","not parasitized","osmia",2,1,11,1,0,1,6,0,0,0,1,NA,0,0,6,0,0,0,147,74
"47","BP","F","trapnest_17","Mid","a",2023-06-05,156,22.77,144.92,"17_16a","3 cells","not sealed","not parasitized","osmia",1,1,10,2,0,2,6.5,5.5,0,0,4,NA,1,5,6,0,0,0,145,23
"48","BP","F","trapnest_17","Mid","a",2023-05-29,149,55.95,153.18,"17_17a","4 cells","not sealed","parasitized","osmia",1,1,9,2,0,2,7.5,1.5,0,0,3,NA,0,1,7,0,0,0,153,56
"49","BP","F","trapnest_17","Mid","b",2023-06-05,156,24.4,139.02,"17_17b","3 cells + end cap","sealed","parasitized","osmia",1,1,10,2,0,2,6.5,5.5,0,0,4,NA,1,5,6,0,0,0,139,24
"50","BP","F","trapnest_17","Mid","a",2023-05-29,149,21.07,139.95,"17_18a","inner wall","not sealed","not parasitized","osmia",1,1,9,2,0,2,7.5,1.5,0,0,3,NA,0,1,7,0,0,0,140,21
"51","BP","F","trapnest_17","Mid","a",2023-06-02,153,2.9,145.32,"17_7a","inner wall","not sealed","not parasitized","osmia",2,1,9,3,0,3,7,4,0,0,3,NA,0,4.5,7.5,0,0,0,145,3
"52","BP","F","trapnest_17","Mid","a",2023-06-02,153,78.68,149.03,"17_9a","inner wall","not sealed","not parasitized","osmia",2,1,9,3,0,3,7,4,0,0,3,NA,0,4.5,7.5,0,0,0,149,79
"53","BP","F","trapnest_18","High","b",2023-06-05,156,17.79,144.44,"18_10b","2 cell + end cap","sealed","not parasitized","osmia",1,1,4,1,0,1,13,5,0,0,1,NA,0,5,13,0,0,0,144,18
"54","BP","F","trapnest_18","High","b",2023-05-31,151,95.42,145.84,"18_12b","7 cells","not sealed","not parasitized","osmia",2,1,3,1,0,1,14,4,0,0,3,NA,0,4,14,0,0,0,146,95
"55","BP","F","trapnest_18","High","a",2023-05-29,149,27.2,142.7,"18_1a","3 cells + end cap","sealed","not parasitized","osmia",1,1,3,4,0,4,12.5,1.5,0,0,2,NA,0,2,13,0,0,0,143,27
"56","BP","F","trapnest_18","High","a",2023-05-29,149,78.55,148.55,"18_8a","2 cells","not sealed","not parasitized","osmia",1,1,3,4,0,4,12.5,1.5,0,0,2,NA,0,2,13,0,0,0,149,79
"57","NN","G","trapnest_19","Low","a",2023-05-29,149,30.46,139.14,"19_8a","3 cells + end cap","sealed","parasitized","osmia",1,1,16,1,0,1,1,1,0,0,0,NA,0,1,1,0,0,0,139,30
"58","NN","G","trapnest_19","Low","b",2023-06-04,155,18.39,139.95,"19_8b","2 cells + end cap","sealed","not parasitized","osmia",3,1,17,1,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,140,18
"59","NN","G","trapnest_19","Low","a",2023-05-15,135,74.4,143.3,"19_9a","2 cells","not sealed","not parasitized","osmia",3,1,17,1,0,1,0,0,0,0,1,NA,0,0,0,0,0,0,143,74
"60","BP","A","trapnest_1","Low","a",2023-06-05,156,91,141,"1_16a","2 cells","not sealed",NA,"osmia",1,1,17,1,0,1,0,0,0,0,1,NA,0,0,0,0,0,0,141,91
"61","NN","G","trapnest_20","Mid","a",2023-06-01,152,10.45,144.11,"20_15a","1 cell","not sealed","not parasitized","osmia",1,1,10,2,0,2,6.5,2.5,0,0,1,NA,0,3,7,0,0,0,144,10
"62","NN","G","trapnest_20","Mid","a",2023-05-29,149,96.03,149.23,"20_2a","9 cells","not sealed","parasitized","osmia",1,1,10,2,0,2,6.5,0.5,0,0,2,NA,0,0,6,0,0,0,149,96
"63","NN","G","trapnest_20","Mid","b",2023-06-01,152,41.3,142.17,"20_3b","5 cells + end cap","sealed","not parasitized","osmia",1,1,10,2,0,2,6.5,2.5,0,0,1,NA,0,3,7,0,0,0,142,41
