"","Trapnest","Date","Day_of_year","Site","Subsite","Treatment","Filled_length_mm","Straw_length_mm","Nest_ID","Status","Sealed","Nest_parasitized","Occupant","Good_days","Bee_choice","Available_cavities_prior","New_nests_os","New_nests_meg","New_nests_sum","Osmia_ps_prior","Osmia_no_ps_prior","Meg_ps_prior","Meg_no_ps_prior","Osmia_ps_no_iw","Osmia_no_ps_no_iw","Meg_ps_no_iw","Meg_no_ps_no_iw","DP_os_post","NDP_os_post","NDP_ps_os_post","DP_os_prior","NDP_os_prior","NDP_ps_os_prior"
"1","trapnest_1",2023-05-11,131,"BP","A","Low",NA,NA,"1_10a","empty",NA,NA,"none",3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","trapnest_1",2023-05-12,132,"BP","A","Low",NA,NA,"1_10a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","trapnest_1",2023-05-15,135,"BP","A","Low",NA,NA,"1_10a","empty",NA,NA,"none",3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","trapnest_1",2023-05-16,136,"BP","A","Low",NA,NA,"1_10a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","trapnest_1",2023-05-17,137,"BP","A","Low",NA,NA,"1_10a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","trapnest_1",2023-05-19,139,"BP","A","Low",NA,NA,"1_10a","empty",NA,NA,"none",2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","trapnest_1",2023-05-21,141,"BP","A","Low",NA,NA,"1_10a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","trapnest_1",2023-05-22,142,"BP","A","Low",NA,NA,"1_10a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","trapnest_1",2023-05-23,143,"BP","A","Low",NA,NA,"1_10a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","trapnest_1",2023-05-26,146,"BP","A","Low",NA,NA,"1_10a","empty",NA,NA,"none",2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","trapnest_1",2023-05-28,148,"BP","A","Low",NA,NA,"1_10a","empty",NA,NA,"none",2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","trapnest_1",2023-05-29,149,"BP","A","Low",NA,NA,"1_10a","empty",NA,NA,"none",1,0,18,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"13","trapnest_1",2023-05-31,151,"BP","A","Low",NA,NA,"1_10a","empty",NA,NA,"none",2,0,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"14","trapnest_1",2023-06-02,153,"BP","A","Low",NA,NA,"1_10a","empty",NA,NA,"none",2,0,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"15","trapnest_1",2023-06-05,156,"BP","A","Low",NA,NA,"1_10a","empty",NA,NA,"none",1,0,18,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"16","trapnest_1",2023-06-08,159,"BP","A","Low",NA,NA,"1_10a","empty",NA,NA,"none",2,0,17,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
