"Site","Subsite","Trapnest","Treatment","Nest_ID","Date","Day_of_year","Year","Status","Occupant","Good_days","Bee_choice","Available_cavities_prior","New_nests_meg","Meg_ps_prior","Meg_no_ps_prior","Meg_active_mothers_prior","DP_meg_prior","NDP_meg_prior","NDP_ps_meg_prior","Abandoned_inner_wall"
"CP","AJ","trapnest_100","Low","100_10a",2024-06-05,157,"year_2024","empty","none",2,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_10a",2024-06-11,163,"year_2024","empty","none",1,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_10a",2024-06-14,166,"year_2024","empty","none",1,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_10a",2024-06-17,169,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_10a",2024-06-21,173,"year_2024","2 cells","megachile",4,1,18,1,0,0,0,0,0,0,0
"CP","AJ","trapnest_100","Low","100_10a",2024-06-25,177,"year_2024","1 cell","megachile",1,NA,17,0,1,1,1,0,1,1,NA
"CP","AJ","trapnest_100","Low","100_10a",2024-06-28,180,"year_2024","no change","megachile",3,NA,17,0,1,1,1,0,1,1,NA
"CP","AJ","trapnest_100","Low","100_10a",2024-07-02,184,"year_2024","no change","megachile",3,NA,17,0,1,1,1,0,1,1,NA
"CP","AJ","trapnest_100","Low","100_10b",2024-07-05,187,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_10b",2024-07-08,190,"year_2024","empty","none",2,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_10b",2024-07-13,195,"year_2024","empty","none",2,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_10b",2024-07-16,198,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_10b",2024-07-19,201,"year_2024","empty","none",2,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_10b",2024-07-22,204,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_10b",2024-07-24,206,"year_2024","empty","none",2,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_10b",2024-07-26,208,"year_2024","empty","none",0,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_10b",2024-07-29,211,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_10b",2024-08-02,215,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_10b",2024-08-06,219,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_10b",2024-08-08,221,"year_2024","empty","none",0,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_10b",2024-08-12,225,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_11a",2024-06-05,157,"year_2024","empty","none",2,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_11a",2024-06-11,163,"year_2024","empty","none",1,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_11a",2024-06-14,166,"year_2024","empty","none",1,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_11a",2024-06-17,169,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_11a",2024-06-21,173,"year_2024","empty","none",4,NA,18,1,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_11a",2024-06-25,177,"year_2024","empty","none",1,NA,17,0,1,1,1,0,1,1,NA
"CP","AJ","trapnest_100","Low","100_11a",2024-06-28,180,"year_2024","empty","none",3,NA,17,0,1,1,1,0,1,1,NA
"CP","AJ","trapnest_100","Low","100_11a",2024-07-02,184,"year_2024","empty","none",3,NA,17,0,1,1,1,0,1,1,NA
"CP","AJ","trapnest_100","Low","100_11a",2024-07-05,187,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_11a",2024-07-08,190,"year_2024","empty","none",2,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_11a",2024-07-13,195,"year_2024","empty","none",2,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_11a",2024-07-16,198,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_11a",2024-07-19,201,"year_2024","empty","none",2,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_11a",2024-07-22,204,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_11a",2024-07-24,206,"year_2024","empty","none",2,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_11a",2024-07-26,208,"year_2024","empty","none",0,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_11a",2024-07-29,211,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_11a",2024-08-02,215,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_11a",2024-08-06,219,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_11a",2024-08-08,221,"year_2024","empty","none",0,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_11a",2024-08-12,225,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_12a",2024-06-05,157,"year_2024","empty","none",2,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_12a",2024-06-11,163,"year_2024","empty","none",1,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_12a",2024-06-14,166,"year_2024","empty","none",1,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_12a",2024-06-17,169,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_12a",2024-06-21,173,"year_2024","empty","none",4,NA,18,1,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_12a",2024-06-25,177,"year_2024","empty","none",1,NA,17,0,1,1,1,0,1,1,NA
"CP","AJ","trapnest_100","Low","100_12a",2024-06-28,180,"year_2024","empty","none",3,NA,17,0,1,1,1,0,1,1,NA
"CP","AJ","trapnest_100","Low","100_12a",2024-07-02,184,"year_2024","empty","none",3,NA,17,0,1,1,1,0,1,1,NA
"CP","AJ","trapnest_100","Low","100_12a",2024-07-05,187,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_12a",2024-07-08,190,"year_2024","empty","none",2,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_12a",2024-07-13,195,"year_2024","empty","none",2,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_12a",2024-07-16,198,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_12a",2024-07-19,201,"year_2024","empty","none",2,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_12a",2024-07-22,204,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_12a",2024-07-24,206,"year_2024","empty","none",2,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_12a",2024-07-26,208,"year_2024","empty","none",0,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_12a",2024-07-29,211,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_12a",2024-08-02,215,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_12a",2024-08-06,219,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_12a",2024-08-08,221,"year_2024","empty","none",0,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_12a",2024-08-12,225,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_13a",2024-06-05,157,"year_2024","empty","none",2,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_13a",2024-06-11,163,"year_2024","empty","none",1,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_13a",2024-06-14,166,"year_2024","empty","none",1,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_13a",2024-06-17,169,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_13a",2024-06-21,173,"year_2024","empty","none",4,NA,18,1,0,0,0,0,0,0,NA
"CP","AJ","trapnest_100","Low","100_13a",2024-06-25,177,"year_2024","empty","none",1,NA,17,0,1,1,1,0,1,1,NA
"CP","AJ","trapnest_100","Low","100_13a",2024-06-28,180,"year_2024","empty","none",3,NA,17,0,1,1,1,0,1,1,NA
"CP","AJ","trapnest_100","Low","100_13a",2024-07-02,184,"year_2024","empty","none",3,NA,17,0,1,1,1,0,1,1,NA
"CP","AJ","trapnest_100","Low","100_13a",2024-07-05,187,"year_2024","empty","none",3,NA,18,0,0,0,0,0,0,0,NA
