Site,Subsite,Trapnest,Treatment,Cavity_size,Cavity_number,Straw_ID,Cell_number,Cell_occupant,Living,Date,Comments
BP,A,2,Mid,small,1,a,1,sapyga,yes,2023-05-29,
BP,A,2,Mid,small,1,a,2,sapyga,yes,2023-05-29,
BP,A,2,Mid,small,7,a,1,osmia,yes,2023-05-31,
BP,A,2,Mid,small,9,a,1,unknown larva,no,2023-05-31,
BP,A,2,Mid,small,9,a,2,unknown larva,no,2023-05-31,
BP,A,2,Mid,small,9,a,3,unknown larva,no,2023-05-31,
BP,A,2,Mid,small,9,a,4,unknown larva,no,2023-05-31,
BP,A,2,Mid,small,9,a,5,unknown larva,no,2023-05-31,
BP,A,2,Mid,small,9,a,6,unknown larva,no,2023-05-31,
BP,A,2,Mid,small,9,a,7,unknown larva,no,2023-06-02,
BP,A,2,Mid,small,9,b,1,unknown larva,no,2023-06-14,
BP,A,2,Mid,small,9,b,2,empty,NA,2023-06-16,
BP,A,2,Mid,small,15,b,1,osmia,no,2023-05-31,
BP,A,2,Mid,small,15,b,2,pollen mass,NA,2023-05-31,
BP,A,2,Mid,small,15,b,3,osmia,no,2023-05-31,
BP,A,2,Mid,small,16,b,1,mold,no,2023-05-29,
BP,A,2,Mid,small,16,b,2,sapyga,yes,2023-05-29,
BP,A,2,Mid,small,16,b,3,osmia,unknown,2023-05-29,
BP,A,2,Mid,small,16,b,4,sapyga,yes,2023-05-29,
BP,A,2,Mid,small,18,a,1,unknown larva,no,2023-05-15,
BP,A,2,Mid,small,18,a,2,pollen mass,NA,2023-05-15,
BP,A,2,Mid,small,18,a,3,pollen mass,NA,2023-05-15,
BP,A,2,Mid,small,18,a,4,pollen mass,NA,2023-05-15,
BP,A,2,Mid,small,18,a,5,pollen mass,NA,2023-05-15,
BP,A,2,Mid,small,18,a,6,pollen mass,NA,2023-05-22,
BP,A,2,Mid,small,18,a,7,osmia,no,2023-05-22,
BP,A,2,Mid,small,18,a,8,unknown larva,no,2023-05-22,
BP,A,2,Mid,small,18,a,9,unknown larva,no,2023-05-23,
BP,A,2,Mid,small,18,a,10,unknown larva,no,2023-05-26,
BP,A,2,Mid,small,18,a,11,unknown larva,no,2023-05-26,
BP,A,3,High,small,2,a,1,unknown larva,no,2023-05-31,
BP,A,3,High,small,2,a,2,unknown larva,no,2023-05-31,
BP,A,3,High,small,2,a,3,pollen mass,no,2023-06-02,mold present
BP,A,3,High,small,2,a,4,unknown larva,no,2023-06-02,mold present
BP,A,3,High,small,2,a,5,unknown larva,no,2023-06-02,mold present
BP,A,3,High,small,9,b,1,pollen mass,NA,2023-06-16,
BP,A,3,High,small,9,b,2,pollen mass,NA,2023-06-23,
BP,A,3,High,small,9,b,3,pollen mass,NA,2023-06-23,mold present
BP,A,3,High,small,9,b,4,pollen mass,NA,2023-06-23,mold present
BP,A,3,High,small,9,b,5,unknown larva,no,2023-06-29,mold present
BP,A,3,High,small,9,b,6,unknown larva,no,2023-06-29,mold present
BP,A,3,High,small,9,b,7,pollen mass,NA,2023-06-29,
BP,A,3,High,small,9,b,8,pollen mass,NA,2023-06-29,
BP,A,3,High,small,9,b,9,pollen mass,NA,2023-06-29,mold present
BP,A,3,High,small,9,b,10,unknown larva,NA,2023-06-29,mold present
BP,A,3,High,small,11,b,1,osmia,yes,2023-06-02,mold present
BP,A,3,High,small,11,b,2,sapyga,yes,2023-06-02,mold present
BP,A,3,High,small,14,a,1,sapyga,yes,2023-05-26,mold present
BP,A,3,High,small,14,a,2,osmia,yes,2023-05-26,mold present
BP,A,3,High,small,16,b,1,empty,NA,2023-06-02,mold present
BP,A,3,High,small,18,a,1,mold,NA,2023-05-23,mold present
BP,A,3,High,small,18,a,2,unknown larva,no,2023-05-26,mold present
BP,A,3,High,small,18,a,3,unknown larva,no,2023-05-26,mold present
BP,A,3,High,small,18,a,4,unknown larva,no,2023-05-26,mold present
BP,A,3,High,small,18,a,5,pollen mass,NA,2023-05-29,
BP,A,3,High,small,18,a,6,unknown larva,no,2023-05-29,
BP,A,3,High,small,18,a,7,unknown larva,no,2023-05-29,
BP,A,3,High,small,18,a,8,unknown larva,no,2023-05-29,
BP,B,4,Low,small,8,a,1,unknown larva,no,2023-06-23,
BP,B,4,Low,small,8,a,2,pollen mass,NA,2023-06-23,
BP,B,4,Low,small,8,a,3,pollen mass,NA,2023-06-23,
BP,B,4,Low,small,8,a,4,pollen mass,NA,2023-06-23,
BP,B,4,Low,small,8,a,5,pollen mass,NA,2023-06-29,
BP,B,4,Low,small,8,a,6,pollen mass,NA,2023-06-29,
BP,B,4,Low,small,8,a,7,pollen mass,NA,2023-06-29,
BP,B,4,Low,small,8,a,8,pollen mass,NA,2023-06-29,
BP,B,5,Mid,small,18,a,1,sapyga,yes,2023-06-02,
BP,B,5,Mid,small,18,a,2,osmia,yes,2023-06-02,
BP,B,5,Mid,small,18,a,3,osmia,yes,2023-06-02,
BP,B,6,High,small,5,b,1,unknown larva,no,2023-06-05,
BP,B,6,High,small,5,b,2,unknown larva,no,2023-06-16,
BP,B,6,High,small,10,a,1,unknown larva,no,2023-05-31,
BP,B,6,High,small,10,a,2,mold,Na,2023-05-31,
BP,B,6,High,small,10,a,3,mold,NA,2023-05-31,
BP,B,6,High,small,10,a,4,mold,NA,2023-05-31,
BP,B,6,High,small,10,a,5,mold,NA,2023-05-31,
BP,B,6,High,small,13,b,1,unknown larva,yes,2023-06-23,
BP,B,6,High,small,13,b,2,pollen mass,NA,2023-06-23,
BP,B,6,High,small,13,b,3,unknown larva,unknown,2023-06-29,
BP,B,6,High,small,13,b,4,unknown larva,yes,2023-06-29,
BP,B,6,High,small,13,b,5,unknown larva,yes,2023-06-29,
BP,B,6,High,small,13,b,6,empty,NA,2023-06-29,
BP,B,6,High,small,14,a,1,pollen mass,NA,2023-05-31,
BP,B,6,High,small,14,a,2,unknown larva,no,2023-06-05,
BP,B,6,High,small,14,a,3,pollen mass,NA,2023-06-08,
BP,B,6,High,small,15,a,1,osmia,yes,2023-05-31,
BP,B,6,High,small,15,a,2,osmia,yes,2023-06-02,
BP,B,6,High,small,15,a,3,osmia,yes,2023-06-02,
BP,B,6,High,small,15,a,4,sapyga,yes,2023-06-02,
BP,B,6,High,small,15,a,5,osmia,yes,2023-06-02,
BP,B,6,High,small,15,a,6,osmia,yes,2023-06-02,
BP,B,6,High,small,15,a,7,sapyga,yes,2023-06-02,
BP,B,6,High,small,15,a,8,sapyga,yes,2023-06-05,
BP,B,6,High,small,15,a,9,osmia,yes,2023-06-05,mold present 
BP,B,6,High,small,15,a,10,sapyga,yes,2023-06-05,
BP,B,6,High,small,15,a,11,sapyga,yes,2023-06-05,
BP,B,6,High,small,15,a,12,pollen mass,NA,2023-06-05,
BP,C,7,Low,small,2,a,1,osmia,yes,2023-05-29,
BP,C,7,Low,small,2,a,2,osmia,yes,2023-05-29,
BP,C,7,Low,small,2,a,3,pollen mass,NA,2023-05-29,
BP,C,7,Low,small,2,a,4,pollen mass,NA,2023-05-29,
BP,C,7,Low,small,3,a,1,unknown larva,no,2023-05-22,
