Date,Weather,Visit_BP,Visit_CP,Good_days_BP,Good_days_CP
2024-06-03,good,no,no,NA,NA
2024-06-04,good,no,no,NA,NA
2024-06-05,good,yes,yes,2,2
2024-06-06,bad,no,no,NA,NA
2024-06-07,bad,no,no,NA,NA
2024-06-08,bad,no,no,NA,NA
2024-06-09,bad,no,no,NA,NA
2024-06-10,bad,no,no,NA,NA
2024-06-11,bad,yes,yes,1,1
2024-06-12,good,no,no,NA,NA
2024-06-13,bad,no,no,NA,NA
2024-06-14,good,yes,yes,1,1
2024-06-15,good,no,no,NA,NA
2024-06-16,good,no,no,NA,NA
2024-06-17,good,yes,yes,3,3
2024-06-18,good,no,no,NA,NA
2024-06-19,good,no,no,NA,NA
2024-06-20,good,no,no,NA,NA
2024-06-21,bad,yes,yes,4,4
2024-06-22,bad,no,no,NA,NA
2024-06-23,bad,no,no,NA,NA
2024-06-24,good,no,no,NA,NA
2024-06-25,good,yes,yes,1,1
2024-06-26,good,no,no,NA,NA
2024-06-27,good,no,no,NA,NA
2024-06-28,good,yes,yes,3,3
2024-06-29,bad,no,no,NA,NA
2024-06-30,good,no,no,NA,NA
2024-07-01,good,no,no,NA,NA
2024-07-02,good,yes,yes,3,3
2024-07-03,good,no,no,NA,NA
2024-07-04,good,no,no,NA,NA
2024-07-05,good,yes,yes,3,3
2024-07-06,bad,no,no,NA,NA
2024-07-07,good,no,no,NA,NA
2024-07-08,good,yes,yes,2,2
2024-07-09,bad,no,no,NA,NA
2024-07-10,bad,no,no,NA,NA
2024-07-11,bad,no,no,NA,NA
2024-07-12,good,no,no,NA,NA
2024-07-13,good,yes,yes,2,2
2024-07-14,good,no,no,NA,NA
2024-07-15,good,no,no,NA,NA
2024-07-16,bad,yes,yes,3,3
2024-07-17,good,no,no,NA,NA
2024-07-18,good,no,no,NA,NA
2024-07-19,good,yes,yes,2,2
2024-07-20,good,no,no,NA,NA
2024-07-21,good,no,no,NA,NA
2024-07-22,good,yes,yes,3,3
2024-07-23,good,no,no,NA,NA
2024-07-24,bad,no,yes,NA,2
2024-07-25,bad,no,no,NA,NA
2024-07-26,good,yes,yes,2,NA
2024-07-27,good,no,no,NA,NA
2024-07-28,good,no,no,NA,NA
2024-07-29,good,yes,yes,3,3
2024-07-30,good,no,no,NA,NA
2024-07-31,bad,no,no,NA,NA
2024-08-01,good,no,no,NA,NA
2024-08-02,good,yes,yes,3,3
2024-08-03,good,no,no,NA,NA
2024-08-04,good,no,no,NA,NA
2024-08-05,bad,no,no,NA,NA
2024-08-06,good,yes,yes,3,3
2024-08-07,good,no,no,NA,NA
2024-08-08,good,no,no,NA,NA
2024-08-09,bad,no,no,NA,NA
2024-08-10,bad,no,no,NA,NA
2024-08-11,bad,no,no,NA,NA
2024-08-12,good,yes,yes,3,3
2024-08-13,good,yes,yes,1,1
