Date,Max_temp,Rain,Sun_at_noon,Scale_to_3,Visit_NN,Visit_BP_Os,Visit_BP_Meg,Visit_CP,Weather,Good_days_NN,Good_days_BP_Os,Good_days_BP_Meg,Good_days_CP
2023-05-06,21.9,0,mostly clouds,1,NA,NA,NA,NA,good,,,,
2023-05-07,21.9,0,mostly clouds,1,yes,NA,NA,NA,good,1,,,
2023-05-08,17.3,0,mostly sun,3,no,no,NA,NA,good,,,,
2023-05-09,17.3,0,mostly sun,3,no,no,NA,NA,good,,,,
2023-05-10,22.8,0,sun,3,no,no,NA,NA,good,,,,
2023-05-11,26.1,trace,mostly clouds,1,yes,yes,NA,NA,good,4,3,,
2023-05-12,26.1,trace,mostly clouds,1,yes,yes,NA,NA,good,1,1,,
2023-05-13,20.2,0,mostly sun,3,no,no,NA,NA,good,,,,
2023-05-14,17.5,0,mostly sun,3,no,no,NA,NA,good,,,,
2023-05-15,23.7,0,mostly clouds,1,yes,yes,NA,NA,good,3,3,,
2023-05-16,19.5,0.4,mostly clouds,1,yes,yes,NA,NA,good,1,1,,
2023-05-17,9.9,0,mostly sun,3,no,yes,NA,NA,good,,1,,
2023-05-18,16.4,0,mostly sun,3,yes,no,NA,NA,good,2,,,
2023-05-19,22.2,0,mostly clouds,1,yes,yes,NA,NA,good,1,2,,
2023-05-20,16.6,14.1,clouds,0,no,no,NA,NA,bad,,,,
2023-05-21,22.3,trace,mostly sun,3,yes,yes,NA,NA,good,1,1,,
2023-05-22,17.3,0,sun,3,yes,yes,NA,NA,good,1,1,,
2023-05-23,23.6,0,mostly clouds,1,no,yes,NA,NA,good,,1,,
2023-05-24,15.4,7.9,mostly sun,2,no,no,NA,NA,bad,,,,
2023-05-25,17.7,0,sun,3,yes,no,NA,NA,good,3,,,
2023-05-26,21.6,0,mostly clouds,1,yes,yes,NA,NA,good,1,2,,
2023-05-27,28.1,0,sun,3,no,no,NA,NA,good,,,,
2023-05-28,30.4,0,sun,3,yes,yes,NA,NA,good,2,2,,
2023-05-29,24.1,0,mostly sun,3,yes,yes,NA,NA,good,1,1,,
2023-05-30,27.8,0,mostly sun,3,no,no,NA,NA,good,,,,
2023-05-31,32.5,0,sun,3,yes,yes,NA,NA,good,2,2,,
2023-06-01,35.1,0,mostly sun,3,yes,no,NA,NA,good,1,,,
2023-06-02,32.2,0,mostly clouds,1,no,yes,NA,NA,good,,2,,
2023-06-03,21.7,0,mostly sun,3,no,no,NA,NA,good,,,,
2023-06-04,23,0,mostly sun,3,yes,yes,NA,NA,good,3,2,,
2023-06-05,22.1,trace,clouds,1,yes,yes,NA,NA,bad,1,1,,
2023-06-06,22.2,0.3,mostly clouds,1,no,no,NA,NA,good,,,,
2023-06-07,16.1,trace,mostly clouds,1,no,no,NA,NA,good,,,,
2023-06-08,17.9,3.4,mostly clouds,0,yes,yes,NA,NA,bad,2,2,,
2023-06-09,19.5,3.5,mostly clouds,0,no,no,NA,NA,bad,,,,
2023-06-10,23.9,0,mostly clouds,1,yes,yes,NA,NA,good,0,0,,
2023-06-11,23.2,trace,clouds,1,yes,no,NA,NA,bad,1,,,
2023-06-12,27.5,1.1,mostly clouds,0,yes,yes,NA,NA,bad,0,1,,
2023-06-13,22.4,11.1,mostly clouds,0,no,no,NA,NA,bad,,,,
2023-06-14,18,1.5,clouds,0,no,yes,NA,NA,bad,,0,,
2023-06-15,26.7,0,mostly sun,3,yes,no,NA,NA,good,0,,,
2023-06-16,25.6,0,mostly clouds,1,no,yes,NA,NA,good,,1,,
2023-06-17,20.6,trace,clouds,1,no,no,NA,NA,bad,,,,
2023-06-18,23,0,mostly clouds,1,no,no,NA,NA,good,3,,,
2023-06-19,22.9,0.8,mostly clouds,1,yes,no,NA,NA,good,,,,
2023-06-20,28.5,0,mostly clouds,1,no,yes,NA,NA,good,,3,,
2023-06-21,28.5,0,mostly sun,3,no,no,NA,NA,good,,,,
2023-06-22,29.4,0,mostly sun,3,yes,no,NA,NA,good,3,,,
2023-06-23,30.4,0,mostly clouds,1,yes,yes,NA,NA,good,1,3,,
2023-06-24,28,25.8,mostly clouds,0,no,no,NA,NA,bad,,,,
2023-06-25,26.6,0,clouds,1,no,no,NA,NA,bad,,,,
2023-06-26,28.5,24.2,clouds,0,no,no,NA,NA,bad,,,,
2023-06-27,26.6,7.9,mostly clouds,0,no,no,NA,NA,bad,,,,
2023-06-28,20,3.2,clouds,0,no,no,NA,NA,bad,,,,
2023-06-29,27,0,mostly sun,3,yes,yes,NA,NA,good,1,1,,
2023-06-30,26.2,trace,mostly clouds,1,yes,NA,NA,NA,good,1,,,
