"","Site","Subsite","Trapnest","Treatment","Straw_ID","Date","Day_of_year","Filled_length_mm","Straw_length_mm","Nest_ID","Status","Sealed","Nest_parasitized","Occupant","Good_days","Bee_choice","Available_post","New_nests_os","New_nests_meg","Available_cavities_prior","New_nests_sum","Osmia_ps_prior","Osmia_no_ps_prior","Meg_ps_prior","Meg_no_ps_prior","Osmia_active_mothers","Meg_active_mothers","Sum_unsealed_os","Sum_unsealed_meg","DP_os_prior","NDP_os_prior","NDP_ps_os_prior","DP_meg_prior","NDP_meg_prior","NDP_ps_meg_prior","Straw_length","Filled_length"
"1","BP","D","trapnest_11","Mid","a",2023-06-29,180,NA,NA,"11_14a","inner wall","not sealed","not parasitized","osmia",1,1,9,1,0,10,1,6,0,0,0,1,0,1,NA,0,0,6,0,0,0,NA,NA
"2","BP","D","trapnest_12","High","a",2023-06-20,171,NA,NA,"12_17a","inner wall","not sealed","not parasitized","osmia",3,1,5,2,0,7,2,11.5,6.5,0,0,3,0,3,NA,0,6,11,0,0,0,NA,NA
"3","BP","D","trapnest_12","High","b",2023-06-14,165,NA,NA,"12_3b","empty",NA,NA,"osmia",0,NA,6,1,0,7,1,11,6,0,0,2,0,2,NA,0,6,11,0,0,0,NA,NA
"4","BP","E","trapnest_14","Mid","b",2023-06-02,153,NA,NA,"14_12b","inner wall","not sealed","not parasitized","osmia",2,1,11,1,0,12,1,6,3,0,0,2,0,2,NA,0,3,6,0,0,0,NA,NA
"5","BP","E","trapnest_14","Mid","a",2023-05-31,151,NA,NA,"14_17a","inner wall","not sealed","not parasitized","osmia",2,1,9,3,0,12,3,7,2,0,0,3,0,3,NA,0,2.5,7.5,0,0,0,NA,NA
"6","BP","E","trapnest_15","High","a",2023-05-22,142,NA,NA,"15_12a","inner wall","not sealed","not parasitized","osmia",1,1,5,2,0,7,2,11.5,1.5,0,0,1,0,1,NA,0,2,12,0,0,0,NA,NA
"7","BP","E","trapnest_15","High","a",2023-05-17,137,NA,NA,"15_6a","inner wall","not sealed","not parasitized","osmia",1,1,5,1,0,6,1,12,1,0,0,1,0,1,NA,0,1,12,0,0,0,NA,NA
"8","BP","F","trapnest_16","Low","a",2023-05-11,131,NA,NA,"16_3a","inner wall","not sealed","not parasitized","osmia",3,1,17,1,0,18,1,0,0,0,0,1,0,1,NA,0,0,0,0,0,0,NA,NA
"9","BP","F","trapnest_17","Mid","b",2023-06-02,153,NA,NA,"17_14b","inner wall","not sealed","not parasitized","osmia",2,1,9,3,0,12,3,7,4,0,0,3,0,3,NA,0,4.5,7.5,0,0,0,NA,NA
"10","BP","F","trapnest_17","Mid","a",2023-06-05,156,NA,NA,"17_2a","empty",NA,NA,"osmia",1,NA,10,2,0,12,2,6.5,5.5,0,0,4,0,4,NA,1,5,6,0,0,0,NA,NA
"11","BP","F","trapnest_17","Mid","a",2023-06-05,156,NA,NA,"17_5a","empty",NA,NA,"osmia",1,NA,10,2,0,12,2,6.5,5.5,0,0,4,0,4,NA,1,5,6,0,0,0,NA,NA
"12","BP","F","trapnest_17","Mid","a",2023-06-02,153,2.9,145.32,"17_7a","inner wall","not sealed","not parasitized","osmia",2,1,9,3,0,12,3,7,4,0,0,3,0,3,NA,0,4.5,7.5,0,0,0,145,3
"13","BP","A","trapnest_1","Low","a",2023-05-29,149,NA,NA,"1_18a","inner wall","not sealed","not parasitized","osmia",1,1,17,1,0,18,1,0,0,0,0,1,0,1,NA,0,0,0,0,0,0,NA,NA
"14","NN","G","trapnest_20","Mid","a",2023-06-04,155,NA,NA,"20_13a","empty",NA,NA,"osmia",3,NA,12,0,0,12,0,6,3,0,0,1,0,1,NA,0,3,6,0,0,0,NA,NA
"15","NN","H","trapnest_22","Low","a",2023-06-19,170,NA,NA,"22_3a","empty",NA,NA,"osmia",0,NA,16,1,0,17,1,0,0,0,0,1,0,1,NA,0,0,0,0,0,0,NA,NA
"16","NN","H","trapnest_24","High","a",2023-05-25,145,NA,NA,"24_18a","inner wall","not sealed","not parasitized","osmia",3,1,6,1,0,7,1,11,1,0,0,2,0,2,NA,0,0,10,0,0,0,NA,NA
"17","NN","J","trapnest_28","Low","b",2023-07-06,187,NA,NA,"28_8b","empty",NA,NA,"osmia",2,NA,15,0,0,15,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
"18","BP","A","trapnest_2","Mid","a",2023-05-11,131,NA,NA,"2_12a","inner wall","not sealed","not parasitized","osmia",3,1,10,2,0,12,2,6.5,0.5,0,0,2,0,2,NA,0,1,7,0,0,0,NA,NA
"19","BP","A","trapnest_2","Mid","b",2023-06-02,153,NA,NA,"2_14b","inner wall","not sealed","not parasitized","osmia",2,1,9,2,0,11,2,7.5,4.5,0,0,3,0,3,NA,0,5,8,0,0,0,NA,NA
"20","BP","A","trapnest_2","Mid","a",2023-06-02,153,NA,NA,"2_3a","inner wall","not sealed","not parasitized","osmia",2,1,9,2,0,11,2,7.5,4.5,0,0,3,0,3,NA,0,5,8,0,0,0,NA,NA
"21","NN","K","trapnest_32","Mid","a",2023-05-26,146,NA,NA,"32_17a","inner wall","not sealed","not parasitized","osmia",1,1,9,3,0,12,3,7,1,0,0,3,0,3,NA,0,1.5,7.5,0,0,0,NA,NA
"22","NN","K","trapnest_32","Mid","a",2023-05-26,146,NA,NA,"32_6a","inner wall","not sealed","not parasitized","osmia",1,1,9,3,0,12,3,7,1,0,0,3,0,3,NA,0,1.5,7.5,0,0,0,NA,NA
"23","NN","K","trapnest_32","Mid","a",2023-05-26,146,NA,NA,"32_9a","inner wall","not sealed","not parasitized","osmia",1,1,9,3,0,12,3,7,1,0,0,3,0,3,NA,0,1.5,7.5,0,0,0,NA,NA
"24","NN","L","trapnest_35","Mid","a",2023-06-04,155,NA,NA,"35_14a","empty",NA,NA,"osmia",3,NA,7,2,0,9,2,6.5,0.5,0,0,2,0,2,NA,0,1,7,0,0,0,NA,NA
"25","NN","L","trapnest_35","Mid","a",2023-06-04,155,NA,NA,"35_9a","inner wall","not sealed","not parasitized","osmia",3,1,7,2,0,9,2,6.5,0.5,0,0,2,0,2,NA,0,1,7,0,0,0,NA,NA
"26","NN","L","trapnest_36","High","a",2023-05-31,151,NA,NA,"36_11a","inner wall","not sealed","not parasitized","osmia",2,1,3,4,0,7,4,12.5,3.5,0,0,6,0,6,NA,0,3.5,12.5,0,0,0,NA,NA
"27","BP","A","trapnest_3","High","a",2023-06-02,153,NA,NA,"3_7a","inner wall","not sealed","not parasitized","osmia",2,1,5,3,0,8,3,11,5,0,0,2,0,2,NA,0,5.5,11.5,0,0,0,NA,NA
"28","BP","AC","trapnest_79","Low","a",2024-07-08,190,NA,NA,"79_3a","empty",NA,NA,"osmia",2,NA,16,0,0,16,0,0,0,1,1,0,0,NA,0,0,0,0,0,0,0,NA,NA
"29","BP","AC","trapnest_79","Low","a",2024-07-13,195,NA,NA,"79_3a","no change",NA,NA,"osmia",2,NA,15,0,0,15,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA
"30","BP","C","trapnest_7","Low","c",2023-06-14,165,2.55,138.37,"7_3c","inner wall + end cap","sealed","not parasitized","osmia",0,1,12,1,1,14,2,1,1,3,3,0,3,1,4,0,0,0,0,2,2,138,3
"31","BP","AF","trapnest_88","Low","b",2024-07-05,187,NA,NA,"88_13b","inner wall","not sealed","not parasitized","osmia",3,1,17,1,0,18,1,0,0,0,0,1,0,1,NA,0,0,0,0,0,0,NA,NA
