"","Site","Subsite","Trapnest","Treatment","Straw_ID","Date","Day_of_year","Filled_length_mm","Straw_length_mm","Nest_ID","Status","Sealed","Nest_parasitized","Occupant","Good_days","Bee_choice","Available_post","New_nests_os","New_nests_meg","Available_cavities_prior","New_nests_sum","Osmia_ps_prior","Osmia_no_ps_prior","Meg_ps_prior","Meg_no_ps_prior","Sum_unsealed_os","Sum_unsealed_meg","DP_os_prior","NDP_os_prior","NDP_ps_os_prior","DP_meg_prior","NDP_meg_prior","NDP_ps_meg_prior","Straw_length","Filled_length"
"1","CP","AJ","trapnest_100","Low","a",2024-06-21,173,39,135,"100_10a","2 cells","not sealed","not parasitized","megachile",4,1,17,0,1,18,1,0,0,0,0,NA,1,0,0,0,0,0,0,135,39
"2","CP","AJ","trapnest_102","High","a",2024-06-21,173,90,124,"102_13a","4 cells","not sealed","not parasitized","megachile",4,1,7,0,1,8,1,0,0,10,0,NA,1,0,0,0,0,0,10,124,90
"3","CP","AJ","trapnest_102","High","a",2024-06-25,177,75,124,"102_3a","1 cell","not sealed","not parasitized","megachile",1,1,7,0,1,8,1,0,0,10,1,NA,2,0,0,0,0,1,10,124,75
"4","CP","AK","trapnest_104","Mid","a",2024-07-02,184,46,141,"104_15a","1 cell","not sealed","not parasitized","megachile",3,1,11,0,1,12,1,0,0,6,1,NA,2,0,0,0,0,1,6,141,46
"5","CP","AK","trapnest_104","Mid","b",2024-07-22,204,21,170,"104_8b","1 cell","not sealed","not parasitized","megachile",3,1,11,0,1,12,1,0,0,6,2,NA,1,0,0,0,0,2,6,170,21
"6","CP","AK","trapnest_104","Mid","a",2024-07-13,195,20,135,"104_9a","1 cell","not sealed","not parasitized","megachile",2,1,11,0,1,12,1,0,0,6,1,NA,2,0,0,0,0,1,6,135,20
"7","CP","AL","trapnest_106","Low","a",2024-06-21,173,92,138,"106_10a","3 cells","not sealed","not parasitized","megachile",4,1,17,0,1,18,1,0,0,0,0,NA,1,0,0,0,0,0,0,138,92
"8","CP","AL","trapnest_107","Mid","a",2024-06-17,169,43,138,"107_9a","6 cells","not sealed","not parasitized","megachile",3,1,11,0,1,12,1,0,0,6,1,NA,2,0,0,0,1,0,5,138,43
"9","NN","J","trapnest_30","High","b",2023-06-30,181,17.33,136.94,"30_11b","3 cells","not sealed",NA,"megachile",1,1,3,0,1,4,1,11,0,2,2,NA,2,0,0,11,0,2,2,137,17
"10","NN","J","trapnest_30","High","a",2023-06-22,173,90.87,147.57,"30_7a","inner wall","not sealed","not parasitized","megachile",3,1,2,0,2,4,2,11,0,0.5,0.5,NA,2,0,0,11,0,1,1,148,91
"11","BP","O","trapnest_43","Low","a",2023-07-04,185,19.25,144.12,"43_11a","1 cell","not sealed",NA,"megachile",1,1,16,0,2,18,2,0,0,0.5,0.5,NA,2,0,0,0,0,0,0,144,19
