"Site","Subsite","Trapnest","Treatment","Date","Day_of_year","Nest_ID","Sealed","Nest_parasitized","Occupant","DP_os_prior","NDP_os_prior","NDP_ps_os_prior","Year","Straw_length","Filled_length"
"BP","D","trapnest_12","High",2023-06-05,156,"12_12b","sealed","parasitized","osmia",0,5,11,"year_2023",106,57
"BP","D","trapnest_12","High",2023-06-05,156,"12_15a","sealed","parasitized","osmia",0,5,11,"year_2023",145,117
"BP","D","trapnest_12","High",2023-06-14,165,"12_18a","sealed",NA,"osmia",0,6,11,"year_2023",145,84
"BP","D","trapnest_12","High",2023-05-29,149,"12_5a","sealed","not parasitized","osmia",0,1,11,"year_2023",143,116
"BP","D","trapnest_12","High",2023-06-05,156,"12_6b","sealed",NA,"osmia",0,5,11,"year_2023",144,104
"BP","D","trapnest_12","High",2023-06-29,180,"12_6c","sealed","parasitized","osmia",0,7,12,"year_2023",144,52
"BP","D","trapnest_12","High",2023-06-16,167,"12_9b","sealed","parasitized","osmia",0,7,12,"year_2023",131,22
"BP","E","trapnest_13","Low",2023-06-14,165,"13_11a","sealed","parasitized","osmia",0,2,2,"year_2023",141,41
"BP","E","trapnest_13","Low",2023-06-05,156,"13_12a","sealed","parasitized","osmia",1,3,3,"year_2023",137,101
"BP","E","trapnest_13","Low",2023-06-14,165,"13_14a","sealed","parasitized","osmia",0,2,2,"year_2023",140,20
"BP","E","trapnest_13","Low",2023-06-14,165,"13_16a","sealed","not parasitized","osmia",0,2,2,"year_2023",141,15
"BP","E","trapnest_13","Low",2023-05-29,149,"13_2a","sealed","not parasitized","osmia",0,2.5,2.5,"year_2023",123,105
"BP","E","trapnest_13","Low",2023-06-02,153,"13_2b","sealed","not parasitized","osmia",1,2,2,"year_2023",146,34
"BP","E","trapnest_13","Low",2023-05-31,151,"13_4a","sealed",NA,"osmia",1,2,2,"year_2023",150,76
"BP","E","trapnest_13","Low",2023-06-16,167,"13_5a","sealed","parasitized","osmia",1,0,0,"year_2023",150,10
"BP","E","trapnest_13","Low",2023-06-02,153,"13_7a","sealed","not parasitized","osmia",1,2,2,"year_2023",153,133
"BP","E","trapnest_13","Low",2023-06-05,156,"13_7b","sealed",NA,"osmia",1,3,3,"year_2023",153,49
"BP","E","trapnest_13","Low",2023-06-05,156,"13_8a","sealed","parasitized","osmia",1,3,3,"year_2023",147,3
"BP","E","trapnest_14","Mid",2023-06-02,153,"14_10a","sealed","not parasitized","osmia",0,3,6,"year_2023",150,33
"BP","E","trapnest_14","Mid",2023-06-05,156,"14_10b","sealed",NA,"osmia",0,3,6,"year_2023",141,49
"BP","E","trapnest_14","Mid",2023-05-31,151,"14_12a","sealed","parasitized","osmia",0,2.5,7.5,"year_2023",146,76
"BP","E","trapnest_14","Mid",2023-06-02,153,"14_16a","sealed",NA,"osmia",0,3,6,"year_2023",143,68
"BP","E","trapnest_15","High",2023-05-17,137,"15_4a","sealed","parasitized","osmia",0,1,12,"year_2023",143,11
"BP","E","trapnest_15","High",2023-05-22,142,"15_6b","sealed",NA,"osmia",0,2,12,"year_2023",144,9
"BP","F","trapnest_16","Low",2023-06-02,153,"16_11a","sealed","parasitized","osmia",0,3,3,"year_2023",150,44
"BP","F","trapnest_16","Low",2023-05-31,151,"16_14a","sealed","not parasitized","osmia",0,5,5,"year_2023",142,11
"BP","F","trapnest_16","Low",2023-05-29,149,"16_3b","sealed",NA,"osmia",0,4,4,"year_2023",144,66
"BP","F","trapnest_16","Low",2023-05-22,142,"16_5a","sealed",NA,"osmia",1,1,1,"year_2023",140,87
"BP","F","trapnest_16","Low",2023-05-29,149,"16_5b","sealed","not parasitized","osmia",0,4,4,"year_2023",133,77
"BP","F","trapnest_16","Low",2023-06-02,153,"16_5c","sealed","parasitized","osmia",0,3,3,"year_2023",143,20
"BP","F","trapnest_16","Low",2023-05-29,149,"16_6a","sealed","not parasitized","osmia",0,4,4,"year_2023",142,41
"BP","F","trapnest_16","Low",2023-05-31,151,"16_6b","sealed","not parasitized","osmia",0,5,5,"year_2023",150,58
"BP","F","trapnest_16","Low",2023-06-02,153,"16_8b","sealed",NA,"osmia",0,3,3,"year_2023",149,34
"BP","F","trapnest_17","Mid",2023-06-23,174,"17_13b","sealed","parasitized","osmia",0,5,6,"year_2023",135,40
"BP","F","trapnest_17","Mid",2023-05-31,151,"17_15a","sealed",NA,"osmia",1,2,5,"year_2023",147,74
"BP","F","trapnest_17","Mid",2023-06-14,165,"17_16a","sealed","not parasitized","osmia",0,6,7,"year_2023",145,23
"BP","F","trapnest_17","Mid",2023-06-02,153,"17_17a","sealed","parasitized","osmia",0,4.5,7.5,"year_2023",153,56
"BP","F","trapnest_17","Mid",2023-06-05,156,"17_17b","sealed","parasitized","osmia",1,5,6,"year_2023",139,24
