"Site","Subsite","Trapnest","Treatment","Nest_ID","Cell_ID","Cell_position","Cell_position_bi","Date","Cell_occupant","Species_or_subtype","Cell_parasitized","Nest_parasitized","Occupant","New_nests_meg","Meg_ps","Meg_no_ps","Meg_active_mothers","Day_of_year","Year"
"CP","AJ","trapnest_102","High","102_13a","102_13a_1","not last cell",0,2024-06-21,"megachile","pugnata",0,"not parasitized","megachile",1,11,1,1,173,"year_2024"
"CP","AJ","trapnest_102","High","102_13a","102_13a_2","not last cell",0,2024-06-21,"megachile","pugnata",0,"not parasitized","megachile",1,11,1,1,173,"year_2024"
"CP","AJ","trapnest_102","High","102_13a","102_13a_3","not last cell",0,2024-06-21,"megachile","pugnata",0,"not parasitized","megachile",1,11,1,1,173,"year_2024"
"CP","AJ","trapnest_102","High","102_13a","102_13a_4","not last cell",0,2024-06-21,"megachile","pugnata",0,"not parasitized","megachile",1,11,1,1,173,"year_2024"
"CP","AJ","trapnest_102","High","102_13a","102_13a_5","last cell",1,2024-07-05,"megachile","pugnata",0,"not parasitized","megachile",0,10,2,1,187,"year_2024"
"CP","AJ","trapnest_102","High","102_3a","102_3a_1","not last cell",0,2024-06-25,"megachile","pugnata",0,"not parasitized","megachile",1,11,2,2,177,"year_2024"
"CP","AJ","trapnest_102","High","102_3a","102_3a_2","not last cell",0,2024-06-28,"megachile","pugnata",0,"not parasitized","megachile",0,10,2,2,180,"year_2024"
"CP","AJ","trapnest_102","High","102_3a","102_3a_3","not last cell",0,2024-06-28,"megachile","pugnata",0,"not parasitized","megachile",0,10,2,2,180,"year_2024"
"CP","AJ","trapnest_102","High","102_3a","102_3a_4","last cell",1,2024-07-05,"megachile","pugnata",0,"not parasitized","megachile",0,10,2,1,187,"year_2024"
"CP","AK","trapnest_104","Mid","104_15a","104_15a_1","not last cell",0,2024-07-02,"megachile","pugnata",0,"not parasitized","megachile",1,7,2,1,184,"year_2024"
"CP","AK","trapnest_104","Mid","104_15a","104_15a_3","not last cell",0,2024-07-05,"megachile","pugnata",0,"not parasitized","megachile",0,7,1,1,187,"year_2024"
"CP","AK","trapnest_104","Mid","104_8b","104_8b_1","last cell",1,2024-07-22,"megachile","pugnata",0,"not parasitized","megachile",1,7,3,1,204,"year_2024"
"CP","AL","trapnest_107","Mid","107_13a","107_13a_1","not last cell",0,2024-06-05,"megachile",NA,0,"parasitized","megachile",1,7,1,1,157,"year_2024"
"CP","AL","trapnest_107","Mid","107_13a","107_13a_2","not last cell",0,2024-06-05,"parasite","melittobia",1,"parasitized","megachile",1,7,1,1,157,"year_2024"
"CP","AL","trapnest_107","Mid","107_13a","107_13a_3","not last cell",0,2024-06-05,"parasite","melittobia",1,"parasitized","megachile",1,7,1,1,157,"year_2024"
"CP","AL","trapnest_107","Mid","107_13a","107_13a_4","not last cell",0,2024-06-14,"megachile",NA,0,"parasitized","megachile",0,6,1,1,166,"year_2024"
"CP","AL","trapnest_107","Mid","107_13a","107_13a_5","not last cell",0,2024-06-14,"megachile",NA,0,"parasitized","megachile",0,6,1,1,166,"year_2024"
"CP","AL","trapnest_107","Mid","107_9a","107_9a_1","not last cell",0,2024-06-17,"megachile","relativa",0,"parasitized","megachile",1,7,2,2,169,"year_2024"
"CP","AL","trapnest_107","Mid","107_9a","107_9a_2","not last cell",0,2024-06-17,"megachile","relativa",0,"parasitized","megachile",1,7,2,2,169,"year_2024"
"CP","AL","trapnest_107","Mid","107_9a","107_9a_3","not last cell",0,2024-06-17,"parasite","coelioxys",1,"parasitized","megachile",1,7,2,2,169,"year_2024"
"CP","AL","trapnest_107","Mid","107_9a","107_9a_4","not last cell",0,2024-06-17,"megachile","relativa",0,"parasitized","megachile",1,7,2,2,169,"year_2024"
"BP","E","trapnest_13","Low","13_6a","13_6a_1","unknown",NA,2023-06-23,"megachile",NA,0,"not parasitized","megachile",2,2,2,2,174,"year_2023"
"BP","N","trapnest_42","High","42_1b","42_1b_1","last cell",1,2023-07-24,"megachile","relativa",0,"not parasitized","megachile",2,13,3,3,205,"year_2023"
"BP","O","trapnest_43","Low","43_4b","43_4b_1","last cell",1,2023-08-04,"megachile",NA,0,"not parasitized","megachile",1,1,1,1,216,"year_2023"
"BP","O","trapnest_44","Mid","44_3a","44_3a_2","not last cell",0,2023-07-24,"megachile","pugnata",0,"not parasitized","megachile",4,10,5,5,205,"year_2023"
"BP","O","trapnest_44","Mid","44_3a","44_3a_7","last cell",1,2023-08-01,"megachile","pugnata",0,"not parasitized","megachile",1,6,4,3,213,"year_2023"
"BP","O","trapnest_44","Mid","44_8a","44_8a_2","unknown",NA,2023-07-26,"megachile","rotundata",0,"not parasitized","megachile",0,6,4,4,207,"year_2023"
"BP","O","trapnest_45","High","45_11a","45_11a_1","not last cell",0,2023-08-04,"megachile","relativa",0,"not parasitized","megachile",1,12,1,1,216,"year_2023"
"BP","O","trapnest_45","High","45_11a","45_11a_2","last cell",1,2023-08-09,"megachile","relativa",0,"not parasitized","megachile",0,11,1,1,221,"year_2023"
"CP","W","trapnest_67","Low","67_15b","67_15b_1","last cell",1,2023-07-12,"parasite","meloidae",1,"parasitized","megachile",1,2,2,1,193,"year_2023"
"CP","X","trapnest_71","Mid","71_11a","71_11a_1","last cell",1,2023-07-28,"megachile",NA,0,"not parasitized","megachile",1,7,3,2,209,"year_2023"
"CP","X","trapnest_71","Mid","71_13b","71_13b_1","last cell",1,2023-07-20,"megachile","pugnata",0,"not parasitized","megachile",1,7,1,1,201,"year_2023"
"CP","X","trapnest_71","Mid","71_13b","71_13b_4","not last cell",0,2023-07-20,"megachile","pugnata",0,"not parasitized","megachile",1,7,1,1,201,"year_2023"
"BP","AA","trapnest_73","Low","73_9a","73_9a_1","last cell",1,2024-06-21,"megachile","relativa",0,"parasitized","megachile",1,1,1,1,173,"year_2024"
"BP","AA","trapnest_73","Low","73_9a","73_9a_2","not last cell",0,2024-06-21,"megachile","relativa",0,"parasitized","megachile",1,1,1,1,173,"year_2024"
"BP","AA","trapnest_73","Low","73_9a","73_9a_3","not last cell",0,2024-06-21,"megachile","relativa",0,"parasitized","megachile",1,1,1,1,173,"year_2024"
"BP","AA","trapnest_73","Low","73_9a","73_9a_4","not last cell",0,2024-06-21,"megachile","relativa",0,"parasitized","megachile",1,1,1,1,173,"year_2024"
"BP","AA","trapnest_73","Low","73_9a","73_9a_5","not last cell",0,2024-06-21,"parasite","coelioxys",1,"parasitized","megachile",1,1,1,1,173,"year_2024"
"BP","AA","trapnest_75","High","75_17b","75_17b_2","not last cell",0,2024-06-28,"parasite","chalcid",1,"parasitized","megachile",0,11,2,1,180,"year_2024"
"BP","AA","trapnest_75","High","75_17b","75_17b_3","not last cell",0,2024-06-28,"parasite","chalcid",1,"parasitized","megachile",0,11,2,1,180,"year_2024"
"BP","AA","trapnest_75","High","75_17b","75_17b_4","last cell",1,2024-07-02,"parasite","chalcid",1,"parasitized","megachile",0,11,2,1,184,"year_2024"
"BP","AA","trapnest_75","High","75_18a","75_18a_1","last cell",1,2024-06-21,"parasite","coelioxys",1,"parasitized","megachile",1,12,1,1,173,"year_2024"
"BP","AB","trapnest_77","Mid","77_11b","77_11b_1","last cell",1,2024-07-29,"megachile","pugnata",0,"not parasitized","megachile",1,7,4,1,211,"year_2024"
"BP","AB","trapnest_77","Mid","77_12c","77_12c_2","last cell",1,2024-07-22,"megachile","pugnata",0,"not parasitized","megachile",1,7,4,1,204,"year_2024"
"BP","AB","trapnest_77","Mid","77_12d","77_12d_1","last cell",1,2024-08-06,"megachile","pugnata",0,"not parasitized","megachile",2,8,5,2,219,"year_2024"
"BP","AB","trapnest_77","Mid","77_13a","77_13a_1","last cell",1,2024-07-16,"megachile","pugnata",0,"not parasitized","megachile",1,7,3,2,198,"year_2024"
"BP","AB","trapnest_77","Mid","77_2a","77_2a_8","not last cell",0,2024-06-25,"megachile","relativa",0,"not parasitized","megachile",0,6,1,1,177,"year_2024"
"BP","AB","trapnest_77","Mid","77_2a","77_2a_9","last cell",1,2024-06-28,"megachile","relativa",0,"not parasitized","megachile",0,6,1,1,180,"year_2024"
"BP","AB","trapnest_77","Mid","77_4b","77_4b_2","not last cell",0,2024-07-05,"megachile","relativa",0,"not parasitized","megachile",1,7,2,1,187,"year_2024"
"BP","AB","trapnest_77","Mid","77_4c","77_4c_1","last cell",1,2024-08-06,"megachile","pugnata",0,"not parasitized","megachile",2,8,5,2,219,"year_2024"
"BP","AB","trapnest_78","High","78_15b","78_15b_1","unknown",NA,2024-08-06,"megachile","centuncularis",0,"not parasitized","megachile",0,13,2,2,219,"year_2024"
