"","Date","Nest_ID","Trapnest","Site","Subsite","Treatment","Cavity_number","Straw_ID","Cavity_ID","Cell_ID","Cell_number","Filled_length_mm","Straw_length_mm","Status","Contains_cells","Occupant","Good_days","Bee_choice","Available_cavities_prior","New_nests_os","New_nests_meg","Osmia_ps_prior","Osmia_no_ps_prior","Meg_ps_prior","Meg_no_ps_prior","Osmia_ps_no_iw","Osmia_no_ps_no_iw","Meg_ps_no_iw","Meg_no_ps_no_iw","New_nests_sum","Cumulative_par","Number_of_cells","Prop_cells_par","Cell_parasitized","Sealed","Nest_parasitized","Active_bin","Sum_unsealed_os_no_iw","Last_cell","Total_cells_per_date","Sum_cell_parasitized","Sum_cell_not_parasitized","Day_of_year"
"1",2023-05-12,"16_5a","trapnest_16","BP","F","Low",5,"a","16_5","16_5a_1","1","86.8","140.489","1 cell",1,"osmia",1,1,17,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,"not sealed","not parasitized",1,1,0,1,0,1,132
"2",2023-05-15,"12_5a","trapnest_12","BP","D","High",5,"a","12_5","12_5a_1","1","115.52","142.83","2 cells",1,"osmia",3,1,7,1,0,11,0,0,0,NA,1,0,0,1,0,2,0,0,"not sealed","not parasitized",1,1,0,2,0,2,135
"3",2023-05-15,"16_5a","trapnest_16","BP","F","Low",5,"a","16_5","16_5a_2","2","86.8","140.489","5 cells",1,"osmia",3,NA,18,2,0,0.5,0.5,0,0,2,2,0,0,2,0,6,0,0,"not sealed","not parasitized",1,2,0,5,0,5,135
"4",2023-05-15,"2_18a","trapnest_2","BP","A","Mid",18,"a","2_18","2_18a_1","1","106.85","142.77","5 cells",1,"osmia",3,NA,11,0,0,7,2,0,0,NA,1,0,0,0,0,5,0,0,"not sealed","not parasitized",1,1,0,5,0,5,135
"5",2023-05-17,"12_5a","trapnest_12","BP","D","High",5,"a","12_5","12_5a_3","3","115.52","142.83","1 cell",1,"osmia",1,NA,6,0,0,12,1,0,0,NA,1,0,0,0,0,3,0,0,"not sealed","not parasitized",1,1,0,1,0,1,137
"6",2023-05-17,"15_4a","trapnest_15","BP","E","High",4,"a","15_4","15_4a_1","1","10.75","143.02","1 cell + end cap",1,"osmia",1,NA,6,1,0,12,1,0,0,NA,1,0,0,1,1,1,1,1,"sealed","parasitized",0,0,1,1,1,0,137
"7",2023-05-17,"16_5a","trapnest_16","BP","F","Low",5,"a","16_5","16_5a_7","7","86.8","140.489","1 cell",1,"osmia",1,NA,16,0,0,2,2,0,0,2,2,0,0,0,0,7,0,0,"not sealed","not parasitized",1,2,0,1,0,1,137
"8",2023-05-19,"12_5a","trapnest_12","BP","D","High",5,"a","12_5","12_5a_4","4","115.52","142.83","1 cell",1,"osmia",2,NA,6,0,0,12,1,0,0,NA,1,0,0,0,0,4,0,0,"not sealed","not parasitized",1,1,0,1,0,1,139
"9",2023-05-19,"16_5a","trapnest_16","BP","F","Low",5,"a","16_5","16_5a_8","8","86.8","140.489","1 cell",1,"osmia",2,NA,16,0,0,2,2,0,0,2,2,0,0,0,0,8,0,0,"not sealed","not parasitized",1,2,0,1,0,1,139
"10",2023-05-22,"12_5a","trapnest_12","BP","D","High",5,"a","12_5","12_5a_5","5","115.52","142.83","3 cells",1,"osmia",1,NA,7,0,0,11,1,0,0,NA,1,0,0,0,0,7,0,0,"not sealed","not parasitized",1,1,0,3,0,3,142
