"Site","Subsite","Trapnest","Treatment","Nest_ID","Cell_ID","Cell_position","Cell_position_bi","Date","Cell_occupant","Species_or_subtype","Cell_parasitized","Nest_parasitized","Occupant","New_nests_os","Osmia_ps","Osmia_no_ps","Osmia_active_mothers","Day_of_year","Year"
"BP","D","trapnest_12","High","12_12b","12_12b_1","not last cell",0,2023-06-02,"parasite","sapyga",1,"parasitized","osmia",2,12,5,4,153,"year_2023"
"BP","D","trapnest_12","High","12_12b","12_12b_2","not last cell",0,2023-06-02,"parasite","sapyga",1,"parasitized","osmia",2,12,5,4,153,"year_2023"
"BP","D","trapnest_12","High","12_12b","12_12b_3","not last cell",0,2023-06-05,"osmia","pumila",0,"parasitized","osmia",0,11,5,3,156,"year_2023"
"BP","D","trapnest_12","High","12_12b","12_12b_4","not last cell",0,2023-06-05,"parasite","sapyga",1,"parasitized","osmia",0,11,5,3,156,"year_2023"
"BP","D","trapnest_12","High","12_12b","12_12b_5","not last cell",0,2023-06-05,"parasite","sapyga",1,"parasitized","osmia",0,11,5,3,156,"year_2023"
"BP","D","trapnest_12","High","12_12b","12_12b_6","last cell",1,2023-06-05,"parasite","sapyga",1,"parasitized","osmia",0,11,5,3,156,"year_2023"
"BP","D","trapnest_12","High","12_15a","12_15a_2","not last cell",0,2023-05-29,"parasite","sapyga",1,"parasitized","osmia",2,13,3,3,149,"year_2023"
"BP","D","trapnest_12","High","12_15a","12_15a_10","not last cell",0,2023-05-31,"osmia","tersula",0,"parasitized","osmia",0,11,3,2,151,"year_2023"
"BP","D","trapnest_12","High","12_15a","12_15a_11","not last cell",0,2023-05-31,"osmia","tersula",0,"parasitized","osmia",0,11,3,2,151,"year_2023"
"BP","D","trapnest_12","High","12_15a","12_15a_12","not last cell",0,2023-06-05,"osmia","tersula",0,"parasitized","osmia",0,11,5,3,156,"year_2023"
"BP","D","trapnest_12","High","12_15a","12_15a_13","last cell",1,2023-06-05,"parasite","sapyga",1,"parasitized","osmia",0,11,5,3,156,"year_2023"
"BP","D","trapnest_12","High","12_5a","12_5a_1","not last cell",0,2023-05-15,"osmia","tersula",0,"not parasitized","osmia",1,12,1,1,135,"year_2023"
"BP","D","trapnest_12","High","12_5a","12_5a_11","not last cell",0,2023-05-26,"osmia","tersula",0,"not parasitized","osmia",0,11,1,1,146,"year_2023"
"BP","D","trapnest_12","High","12_5a","12_5a_12","not last cell",0,2023-05-26,"osmia","tersula",0,"not parasitized","osmia",0,11,1,1,146,"year_2023"
"BP","D","trapnest_12","High","12_5a","12_5a_13","not last cell",0,2023-05-26,"osmia","tersula",0,"not parasitized","osmia",0,11,1,1,146,"year_2023"
"BP","D","trapnest_12","High","12_5a","12_5a_14","last cell",1,2023-05-29,"osmia","tersula",0,"not parasitized","osmia",2,13,3,3,149,"year_2023"
"BP","D","trapnest_12","High","12_6c","12_6c_1","not last cell",0,2023-06-20,"parasite","sapyga",1,"parasitized","osmia",2,13,8,3,171,"year_2023"
"BP","D","trapnest_12","High","12_6c","12_6c_2","not last cell",0,2023-06-23,"parasite","sapyga",1,"parasitized","osmia",0,12,7,3,174,"year_2023"
"BP","D","trapnest_12","High","12_6c","12_6c_3","not last cell",0,2023-06-23,"parasite","sapyga",1,"parasitized","osmia",0,12,7,3,174,"year_2023"
"BP","D","trapnest_12","High","12_6c","12_6c_4","not last cell",0,2023-06-23,"parasite","sapyga",1,"parasitized","osmia",0,12,7,3,174,"year_2023"
"BP","D","trapnest_12","High","12_6c","12_6c_5","not last cell",0,2023-06-23,"parasite","sapyga",1,"parasitized","osmia",0,12,7,3,174,"year_2023"
"BP","D","trapnest_12","High","12_6c","12_6c_6","not last cell",0,2023-06-23,"osmia","pumila",0,"parasitized","osmia",0,12,7,3,174,"year_2023"
"BP","D","trapnest_12","High","12_6c","12_6c_7","last cell",1,2023-06-23,"osmia","pumila",0,"parasitized","osmia",0,12,7,3,174,"year_2023"
"BP","D","trapnest_12","High","12_9b","12_9b_1","not last cell",0,2023-06-14,"osmia","pumila",0,"parasitized","osmia",1,12,7,3,165,"year_2023"
"BP","D","trapnest_12","High","12_9b","12_9b_2","not last cell",0,2023-06-14,"parasite","sapyga",1,"parasitized","osmia",1,12,7,3,165,"year_2023"
"BP","D","trapnest_12","High","12_9b","12_9b_3","last cell",1,2023-06-16,"osmia","pumila",0,"parasitized","osmia",0,12,7,2,167,"year_2023"
"BP","E","trapnest_13","Low","13_11a","13_11a_1","not last cell",0,2023-06-05,"osmia","pumila",0,"parasitized","osmia",2,6,6,5,156,"year_2023"
"BP","E","trapnest_13","Low","13_11a","13_11a_2","not last cell",0,2023-06-05,"parasite","sapyga",1,"parasitized","osmia",2,6,6,5,156,"year_2023"
"BP","E","trapnest_13","Low","13_11a","13_11a_3","not last cell",0,2023-06-05,"parasite","sapyga",1,"parasitized","osmia",2,6,6,5,156,"year_2023"
"BP","E","trapnest_13","Low","13_11a","13_11a_4","last cell",1,2023-06-09,"parasite","sapyga",1,"parasitized","osmia",0,1,1,1,160,"year_2023"
"BP","E","trapnest_13","Low","13_12a","13_12a_1","not last cell",0,2023-05-29,"osmia",NA,0,"not parasitized","osmia",3,4,4,4,149,"year_2023"
"BP","E","trapnest_13","Low","13_12a","13_12a_2","not last cell",0,2023-05-29,"osmia",NA,0,"not parasitized","osmia",3,4,4,4,149,"year_2023"
"BP","E","trapnest_13","Low","13_12a","13_12a_3","not last cell",0,2023-05-31,"parasite","sapyga",1,"parasitized","osmia",1,4,4,4,151,"year_2023"
"BP","E","trapnest_13","Low","13_12a","13_12a_5","not last cell",0,2023-05-31,"osmia",NA,0,"parasitized","osmia",1,4,4,4,151,"year_2023"
"BP","E","trapnest_13","Low","13_14a","13_14a_1","not last cell",0,2023-06-14,"parasite","sapyga",1,"parasitized","osmia",3,4,4,3,165,"year_2023"
"BP","E","trapnest_13","Low","13_14a","13_14a_2","last cell",1,2023-06-14,"parasite","sapyga",1,"parasitized","osmia",3,4,4,3,165,"year_2023"
"BP","E","trapnest_13","Low","13_16a","13_16a_1","not last cell",0,2023-06-14,"osmia","tersula",0,"not parasitized","osmia",3,4,4,3,165,"year_2023"
"BP","E","trapnest_13","Low","13_16a","13_16a_2","last cell",1,2023-06-14,"osmia","tersula",0,"not parasitized","osmia",3,4,4,3,165,"year_2023"
"BP","E","trapnest_13","Low","13_18a","13_18a_1","not last cell",0,2023-06-14,"parasite","sapyga",1,"parasitized","osmia",3,4,4,3,165,"year_2023"
"BP","E","trapnest_13","Low","13_18a","13_18a_2","not last cell",0,2023-06-14,"parasite","sapyga",1,"parasitized","osmia",3,4,4,3,165,"year_2023"
"BP","E","trapnest_13","Low","13_18a","13_18a_3","not last cell",0,2023-06-16,"parasite","sapyga",1,"parasitized","osmia",1,2,2,2,167,"year_2023"
"BP","E","trapnest_13","Low","13_2a","13_2a_1","not last cell",0,2023-05-23,"osmia",NA,0,"not parasitized","osmia",1,1,1,1,143,"year_2023"
"BP","E","trapnest_13","Low","13_2a","13_2a_2","not last cell",0,2023-05-23,"osmia",NA,0,"not parasitized","osmia",1,1,1,1,143,"year_2023"
"BP","E","trapnest_13","Low","13_2a","13_2a_3","not last cell",0,2023-05-26,"osmia",NA,0,"not parasitized","osmia",0,1,1,1,146,"year_2023"
