"","Trapnest","Date","Day_of_year","Site","Subsite","Treatment","Good_days","Available_cavities_prior","New_nests_meg","New_nests_sum","Meg_ps_prior","Meg_no_ps_prior","Meg_ps_no_iw","Meg_no_ps_no_iw"
"1","trapnest_1",2023-06-23,174,"BP","A","Low",3,18,0,0,0,0,0,0
"2","trapnest_1",2023-06-29,180,"BP","A","Low",1,18,0,0,0,0,0,0
"3","trapnest_10",2023-06-23,174,"BP","D","Low",3,18,0,0,0,0,0,0
"4","trapnest_10",2023-06-29,180,"BP","D","Low",1,18,0,0,0,0,0,0
"5","trapnest_11",2023-06-23,174,"BP","D","Mid",3,12,0,0,0,0,0,0
"6","trapnest_11",2023-06-29,180,"BP","D","Mid",1,10,0,1,0,0,0,0
"7","trapnest_12",2023-06-23,174,"BP","D","High",3,6,0,0,0,0,0,0
"8","trapnest_12",2023-06-29,180,"BP","D","High",1,6,0,1,0,0,0,0
"9","trapnest_13",2023-06-23,174,"BP","E","Low",3,17,2,2,0.5,0.5,2,2
"10","trapnest_13",2023-06-29,180,"BP","E","Low",1,14,1,1,2,2,3,3
"11","trapnest_14",2023-06-23,174,"BP","E","Mid",3,12,0,0,0,0,0,0
"12","trapnest_14",2023-06-29,180,"BP","E","Mid",1,12,0,0,0,0,0,0
"13","trapnest_15",2023-06-23,174,"BP","E","High",3,8,1,1,0,0,1,1
"14","trapnest_15",2023-06-29,180,"BP","E","High",1,6,0,0,1,1,1,1
"15","trapnest_16",2023-06-23,174,"BP","F","Low",3,18,0,0,0,0,0,0
"16","trapnest_16",2023-06-29,180,"BP","F","Low",1,17,0,0,0,0,0,0
"17","trapnest_17",2023-06-23,174,"BP","F","Mid",3,10,2,3,2.5,2.5,4,4
"18","trapnest_17",2023-06-29,180,"BP","F","Mid",1,9,0,0,4,4,4,4
"19","trapnest_18",2023-06-23,174,"BP","F","High",3,4,0,0,0,0,0,0
"20","trapnest_18",2023-06-29,180,"BP","F","High",1,2,0,0,0,0,0,0
"21","trapnest_19",2023-06-23,174,"NN","G","Low",1,18,0,0,0,0,0,0
"22","trapnest_19",2023-06-30,181,"NN","G","Low",1,17,0,0,0,0,0,0
"23","trapnest_19",2023-07-03,184,"NN","G","Low",2,17,0,0,0,0,0,0
"24","trapnest_19",2023-07-04,185,"NN","G","Low",1,14,0,0,0,0,0,0
"25","trapnest_19",2023-07-06,187,"NN","G","Low",2,14,0,0,0,0,0,0
"26","trapnest_2",2023-06-23,174,"BP","A","Mid",3,12,0,0,0,0,0,0
"27","trapnest_2",2023-06-29,180,"BP","A","Mid",1,7,0,0,0,0,0,0
"28","trapnest_20",2023-06-23,174,"NN","G","Mid",1,11,0,0,0,0,0,0
"29","trapnest_20",2023-06-30,181,"NN","G","Mid",1,11,0,0,0,0,0,0
"30","trapnest_20",2023-07-03,184,"NN","G","Mid",2,12,0,0,0,0,0,0
"31","trapnest_20",2023-07-04,185,"NN","G","Mid",1,12,0,0,0,0,0,0
"32","trapnest_20",2023-07-06,187,"NN","G","Mid",2,12,0,0,0,0,0,0
"33","trapnest_21",2023-06-23,174,"NN","G","High",1,6,0,0,0,0,0,0
"34","trapnest_21",2023-06-30,181,"NN","G","High",1,5,0,0,0,0,0,0
"35","trapnest_21",2023-07-03,184,"NN","G","High",2,5,0,0,0,0,0,0
"36","trapnest_21",2023-07-04,185,"NN","G","High",1,5,0,0,0,0,0,0
"37","trapnest_21",2023-07-06,187,"NN","G","High",2,5,0,0,0,0,0,0
"38","trapnest_22",2023-06-23,174,"NN","H","Low",1,17,0,0,0,0,0,0
"39","trapnest_22",2023-06-30,181,"NN","H","Low",1,17,0,0,0,0,0,0
"40","trapnest_22",2023-07-03,184,"NN","H","Low",2,17,0,0,0,0,0,0
"41","trapnest_22",2023-07-04,185,"NN","H","Low",1,17,0,0,0,0,0,0
"42","trapnest_22",2023-07-06,187,"NN","H","Low",2,18,0,0,0,0,0,0
"43","trapnest_23",2023-06-23,174,"NN","H","Mid",1,11,0,0,0,0,0,0
"44","trapnest_23",2023-06-30,181,"NN","H","Mid",1,5,0,0,0,0,0,0
"45","trapnest_23",2023-07-03,184,"NN","H","Mid",2,11,0,0,0,0,0,0
"46","trapnest_23",2023-07-04,185,"NN","H","Mid",1,8,0,0,0,0,0,0
"47","trapnest_23",2023-07-06,187,"NN","H","Mid",2,10,0,0,0,0,0,0
"48","trapnest_24",2023-06-23,174,"NN","H","High",1,6,0,0,0,0,0,0
"49","trapnest_24",2023-06-30,181,"NN","H","High",1,5,0,1,0,0,0,0
"50","trapnest_24",2023-07-03,184,"NN","H","High",2,5,0,0,0,0,0,0
"51","trapnest_24",2023-07-04,185,"NN","H","High",1,5,0,0,0,0,0,0
"52","trapnest_24",2023-07-06,187,"NN","H","High",2,4,0,0,0,0,0,0
"53","trapnest_25",2023-06-23,174,"NN","I","Low",1,16,0,0,0,0,0,0
"54","trapnest_25",2023-06-30,181,"NN","I","Low",1,14,0,0,0,0,0,0
"55","trapnest_25",2023-07-03,184,"NN","I","Low",2,14,0,0,0,0,0,0
"56","trapnest_25",2023-07-04,185,"NN","I","Low",1,12,0,0,0,0,0,0
"57","trapnest_25",2023-07-06,187,"NN","I","Low",2,13,0,0,0,0,0,0
"58","trapnest_26",2023-06-23,174,"NN","I","Mid",1,12,0,0,0,0,0,0
"59","trapnest_26",2023-06-30,181,"NN","I","Mid",1,12,0,0,0,0,0,0
"60","trapnest_26",2023-07-03,184,"NN","I","Mid",2,12,0,0,0,0,0,0
"61","trapnest_26",2023-07-04,185,"NN","I","Mid",1,12,0,0,0,0,0,0
"62","trapnest_26",2023-07-06,187,"NN","I","Mid",2,11,0,0,0,0,0,0
"63","trapnest_27",2023-06-23,174,"NN","I","High",1,7,0,0,0,0,0,0
"64","trapnest_27",2023-06-30,181,"NN","I","High",1,6,0,0,0,0,0,0
"65","trapnest_27",2023-07-03,184,"NN","I","High",2,6,0,0,0,0,0,0
"66","trapnest_27",2023-07-04,185,"NN","I","High",1,6,0,0,0,0,0,0
"67","trapnest_27",2023-07-06,187,"NN","I","High",2,5,0,0,0,0,0,0
"68","trapnest_28",2023-06-23,174,"NN","J","Low",1,15,0,0,0,0,0,0
"69","trapnest_28",2023-06-30,181,"NN","J","Low",1,13,0,0,0,0,0,0
"70","trapnest_28",2023-07-03,184,"NN","J","Low",2,18,0,0,0,0,0,0
"71","trapnest_28",2023-07-04,185,"NN","J","Low",1,15,0,0,0,0,0,0
"72","trapnest_28",2023-07-06,187,"NN","J","Low",2,15,0,0,0,0,0,0
"73","trapnest_29",2023-06-23,174,"NN","J","Mid",1,10,0,0,0,0,0,0
"74","trapnest_29",2023-06-30,181,"NN","J","Mid",1,10,0,0,0,0,0,0
"75","trapnest_29",2023-07-03,184,"NN","J","Mid",2,11,0,0,0,0,0,0
"76","trapnest_29",2023-07-04,185,"NN","J","Mid",1,11,0,0,0,0,0,0
"77","trapnest_29",2023-07-06,187,"NN","J","Mid",2,11,0,0,0,0,0,0
