"","Date","Day_of_year","Site","Subsite","Trapnest","Treatment","Good_days","Available_cavities_prior","New_nests_sum","New_nests_os","New_nests_meg","Osmia_ps_prior","Osmia_no_ps_prior","Meg_ps_prior","Meg_no_ps_prior","Par_nests_unsealed_os","Other_nests_ps_os","Other_nests_no_ps_os","Prop_new_os"
"1",2023-05-11,131,"BP","A","trapnest_1","Low",3,18,0,0,0,0,0,0,0,0,0,0,0
"2",2023-05-12,132,"BP","A","trapnest_1","Low",1,18,0,0,0,0,0,0,0,0,0,0,0
"3",2023-05-15,135,"BP","A","trapnest_1","Low",3,18,0,0,0,0,0,0,0,0,0,0,0
"4",2023-05-16,136,"BP","A","trapnest_1","Low",1,18,0,0,0,0,0,0,0,0,0,0,0
"5",2023-05-17,137,"BP","A","trapnest_1","Low",1,18,0,0,0,0,0,0,0,0,0,0,0
"6",2023-05-19,139,"BP","A","trapnest_1","Low",2,18,0,0,0,0,0,0,0,0,0,0,0
"7",2023-05-21,141,"BP","A","trapnest_1","Low",1,18,0,0,0,0,0,0,0,0,0,0,0
"8",2023-05-22,142,"BP","A","trapnest_1","Low",1,18,0,0,0,0,0,0,0,0,0,0,0
"9",2023-05-23,143,"BP","A","trapnest_1","Low",1,18,0,0,0,0,0,0,0,0,0,0,0
"10",2023-05-26,146,"BP","A","trapnest_1","Low",2,18,0,0,0,0,0,0,0,0,0,0,0
"11",2023-05-28,148,"BP","A","trapnest_1","Low",2,18,0,0,0,0,0,0,0,0,0,0,0
"12",2023-05-29,149,"BP","A","trapnest_1","Low",1,18,1,1,0,0,0,0,0,0,0,0,0.0555555555555556
"13",2023-05-31,151,"BP","A","trapnest_1","Low",2,17,0,0,0,1,1,0,0,0,1,1,0
"14",2023-06-02,153,"BP","A","trapnest_1","Low",2,17,0,0,0,1,1,0,0,0,1,1,0
"15",2023-06-05,156,"BP","A","trapnest_1","Low",1,18,1,1,0,0,0,0,0,0,0,0,0.0555555555555556
"16",2023-06-08,159,"BP","A","trapnest_1","Low",2,17,0,0,0,1,1,0,0,0,1,1,0
"17",2023-06-10,161,"BP","A","trapnest_1","Low",0,17,0,0,0,1,1,0,0,0,1,1,0
"18",2023-06-12,163,"BP","A","trapnest_1","Low",1,17,0,0,0,1,1,0,0,0,1,1,0
"19",2023-06-14,165,"BP","A","trapnest_1","Low",0,17,0,0,0,1,1,0,0,0,1,1,0
"20",2023-06-16,167,"BP","A","trapnest_1","Low",1,18,0,0,0,0,0,0,0,0,0,0,0
"21",2023-06-20,171,"BP","A","trapnest_1","Low",3,18,0,0,0,0,0,0,0,0,0,0,0
"22",2023-06-23,174,"BP","A","trapnest_1","Low",3,18,0,0,0,0,0,0,0,0,0,0,0
"23",2023-06-29,180,"BP","A","trapnest_1","Low",1,18,0,0,0,0,0,0,0,0,0,0,0
"24",2023-05-11,131,"BP","D","trapnest_10","Low",3,18,0,0,0,0,0,0,0,0,0,0,0
"25",2023-05-12,132,"BP","D","trapnest_10","Low",1,18,0,0,0,0,0,0,0,0,0,0,0
"26",2023-05-15,135,"BP","D","trapnest_10","Low",3,18,0,0,0,0,0,0,0,0,0,0,0
"27",2023-05-16,136,"BP","D","trapnest_10","Low",1,18,0,0,0,0,0,0,0,0,0,0,0
"28",2023-05-17,137,"BP","D","trapnest_10","Low",1,18,0,0,0,0,0,0,0,0,0,0,0
"29",2023-05-19,139,"BP","D","trapnest_10","Low",2,18,0,0,0,0,0,0,0,0,0,0,0
"30",2023-05-21,141,"BP","D","trapnest_10","Low",1,18,0,0,0,0,0,0,0,0,0,0,0
"31",2023-05-22,142,"BP","D","trapnest_10","Low",1,18,0,0,0,0,0,0,0,0,0,0,0
"32",2023-05-23,143,"BP","D","trapnest_10","Low",1,18,0,0,0,0,0,0,0,0,0,0,0
"33",2023-05-26,146,"BP","D","trapnest_10","Low",2,18,0,0,0,0,0,0,0,0,0,0,0
"34",2023-05-28,148,"BP","D","trapnest_10","Low",2,18,0,0,0,0,0,0,0,0,0,0,0
"35",2023-05-29,149,"BP","D","trapnest_10","Low",1,18,0,0,0,0,0,0,0,0,0,0,0
"36",2023-05-31,151,"BP","D","trapnest_10","Low",2,18,0,0,0,0,0,0,0,0,0,0,0
"37",2023-06-02,153,"BP","D","trapnest_10","Low",2,18,0,0,0,0,0,0,0,0,0,0,0
"38",2023-06-05,156,"BP","D","trapnest_10","Low",1,18,0,0,0,0,0,0,0,0,0,0,0
"39",2023-06-08,159,"BP","D","trapnest_10","Low",2,18,0,0,0,0,0,0,0,0,0,0,0
"40",2023-06-10,161,"BP","D","trapnest_10","Low",0,18,0,0,0,0,0,0,0,0,0,0,0
"41",2023-06-12,163,"BP","D","trapnest_10","Low",1,18,0,0,0,0,0,0,0,0,0,0,0
"42",2023-06-14,165,"BP","D","trapnest_10","Low",0,18,0,0,0,0,0,0,0,0,0,0,0
"43",2023-06-16,167,"BP","D","trapnest_10","Low",1,18,0,0,0,0,0,0,0,0,0,0,0
"44",2023-06-20,171,"BP","D","trapnest_10","Low",3,18,0,0,0,0,0,0,0,0,0,0,0
"45",2023-06-23,174,"BP","D","trapnest_10","Low",3,18,0,0,0,0,0,0,0,0,0,0,0
"46",2023-06-29,180,"BP","D","trapnest_10","Low",1,18,0,0,0,0,0,0,0,0,0,0,0
"47",2023-05-11,131,"BP","D","trapnest_11","Mid",3,12,0,0,0,6,0,0,0,0,6,0,0
"48",2023-05-12,132,"BP","D","trapnest_11","Mid",1,12,0,0,0,6,0,0,0,0,6,0,0
"49",2023-05-15,135,"BP","D","trapnest_11","Mid",3,12,0,0,0,6,0,0,0,0,6,0,0
"50",2023-05-16,136,"BP","D","trapnest_11","Mid",1,12,0,0,0,6,0,0,0,0,6,0,0
"51",2023-05-17,137,"BP","D","trapnest_11","Mid",1,12,0,0,0,6,0,0,0,0,6,0,0
"52",2023-05-19,139,"BP","D","trapnest_11","Mid",2,12,0,0,0,6,0,0,0,0,6,0,0
"53",2023-05-21,141,"BP","D","trapnest_11","Mid",1,12,0,0,0,6,0,0,0,0,6,0,0
"54",2023-05-22,142,"BP","D","trapnest_11","Mid",1,12,0,0,0,6,0,0,0,0,6,0,0
"55",2023-05-23,143,"BP","D","trapnest_11","Mid",1,12,0,0,0,6,0,0,0,0,6,0,0
"56",2023-05-26,146,"BP","D","trapnest_11","Mid",2,12,0,0,0,6,0,0,0,0,6,0,0
"57",2023-05-28,148,"BP","D","trapnest_11","Mid",2,12,0,0,0,6,0,0,0,0,6,0,0
"58",2023-05-29,149,"BP","D","trapnest_11","Mid",1,12,0,0,0,6,0,0,0,0,6,0,0
"59",2023-05-31,151,"BP","D","trapnest_11","Mid",2,12,0,0,0,6,0,0,0,0,6,0,0
"60",2023-06-02,153,"BP","D","trapnest_11","Mid",2,12,0,0,0,6,0,0,0,0,6,0,0
"61",2023-06-05,156,"BP","D","trapnest_11","Mid",1,12,0,0,0,6,0,0,0,0,6,0,0
"62",2023-06-08,159,"BP","D","trapnest_11","Mid",2,12,0,0,0,6,0,0,0,0,6,0,0
"63",2023-06-10,161,"BP","D","trapnest_11","Mid",0,12,0,0,0,6,0,0,0,0,6,0,0
"64",2023-06-12,163,"BP","D","trapnest_11","Mid",1,12,0,0,0,6,0,0,0,0,6,0,0
"65",2023-06-14,165,"BP","D","trapnest_11","Mid",0,12,0,0,0,6,0,0,0,0,6,0,0
"66",2023-06-16,167,"BP","D","trapnest_11","Mid",1,12,0,0,0,6,0,0,0,0,6,0,0
"67",2023-06-20,171,"BP","D","trapnest_11","Mid",3,12,0,0,0,6,0,0,0,0,6,0,0
"68",2023-06-23,174,"BP","D","trapnest_11","Mid",3,12,0,0,0,6,0,0,0,0,6,0,0
"69",2023-06-29,180,"BP","D","trapnest_11","Mid",1,10,1,1,0,6,0,0,0,0,6,0,0.1
"70",2023-05-11,131,"BP","D","trapnest_12","High",3,7,0,0,0,11,0,0,0,0,11,0,0
"71",2023-05-12,132,"BP","D","trapnest_12","High",1,7,0,0,0,11,0,0,0,0,11,0,0
"72",2023-05-15,135,"BP","D","trapnest_12","High",3,7,1,1,0,11,0,0,0,0,11,0,0.142857142857143
"73",2023-05-16,136,"BP","D","trapnest_12","High",1,6,0,0,0,12,1,0,0,0,12,1,0
"74",2023-05-17,137,"BP","D","trapnest_12","High",1,6,0,0,0,12,1,0,0,0,12,1,0
"75",2023-05-19,139,"BP","D","trapnest_12","High",2,6,0,0,0,12,1,0,0,0,12,1,0
"76",2023-05-21,141,"BP","D","trapnest_12","High",1,7,0,0,0,11,1,0,0,0,11,1,0
"77",2023-05-22,142,"BP","D","trapnest_12","High",1,7,0,0,0,11,1,0,0,0,11,1,0
"78",2023-05-23,143,"BP","D","trapnest_12","High",1,7,0,0,0,11,1,0,0,0,11,1,0
"79",2023-05-26,146,"BP","D","trapnest_12","High",2,7,0,0,0,11,1,0,0,0,11,1,0
"80",2023-05-28,148,"BP","D","trapnest_12","High",2,7,0,0,0,11,1,0,0,0,11,1,0
"81",2023-05-29,149,"BP","D","trapnest_12","High",1,7,2,2,0,11.5,1.5,0,0,1,11.5,1.5,0.285714285714286
"82",2023-05-31,151,"BP","D","trapnest_12","High",2,9,2,2,0,9.5,1.5,0,0,1,9.5,1.5,0.222222222222222
"83",2023-06-02,153,"BP","D","trapnest_12","High",2,8,2,2,0,10.5,3.5,0,0,2,8.5,1.5,0.25
"84",2023-06-05,156,"BP","D","trapnest_12","High",1,7,0,0,0,11,5,0,0,0,11,5,0
"85",2023-06-08,159,"BP","D","trapnest_12","High",2,7,1,1,0,11,5,0,0,0,11,5,0.142857142857143
"86",2023-06-10,161,"BP","D","trapnest_12","High",0,7,0,0,0,11,6,0,0,0,11,6,0
"87",2023-06-12,163,"BP","D","trapnest_12","High",1,7,0,0,0,11,6,0,0,0,11,6,0
"88",2023-06-14,165,"BP","D","trapnest_12","High",0,7,1,1,0,11,6,0,0,1,11,6,0.142857142857143
"89",2023-06-16,167,"BP","D","trapnest_12","High",1,6,0,0,0,12,7,0,0,0,12,7,0
"90",2023-06-20,171,"BP","D","trapnest_12","High",3,7,2,2,0,11.5,6.5,0,0,1,11.5,6.5,0.285714285714286
"91",2023-06-23,174,"BP","D","trapnest_12","High",3,6,0,0,0,12,7,0,0,1,12,7,0
"92",2023-06-29,180,"BP","D","trapnest_12","High",1,6,1,1,0,12,7,0,0,0,12,7,0.166666666666667
"93",2023-05-11,131,"BP","E","trapnest_13","Low",3,18,0,0,0,0,0,0,0,0,0,0,0
"94",2023-05-12,132,"BP","E","trapnest_13","Low",1,18,0,0,0,0,0,0,0,0,0,0,0
"95",2023-05-15,135,"BP","E","trapnest_13","Low",3,18,0,0,0,0,0,0,0,0,0,0,0
"96",2023-05-16,136,"BP","E","trapnest_13","Low",1,18,0,0,0,0,0,0,0,0,0,0,0
"97",2023-05-17,137,"BP","E","trapnest_13","Low",1,18,0,0,0,0,0,0,0,0,0,0,0
"98",2023-05-19,139,"BP","E","trapnest_13","Low",2,18,0,0,0,0,0,0,0,0,0,0,0
"99",2023-05-21,141,"BP","E","trapnest_13","Low",1,18,0,0,0,0,0,0,0,0,0,0,0
"100",2023-05-22,142,"BP","E","trapnest_13","Low",1,18,0,0,0,0,0,0,0,0,0,0,0
"101",2023-05-23,143,"BP","E","trapnest_13","Low",1,18,1,1,0,0,0,0,0,0,0,0,0.0555555555555556
"102",2023-05-26,146,"BP","E","trapnest_13","Low",2,17,0,0,0,1,1,0,0,0,1,1,0
"103",2023-05-28,148,"BP","E","trapnest_13","Low",2,17,0,0,0,1,1,0,0,0,1,1,0
"104",2023-05-29,149,"BP","E","trapnest_13","Low",1,17,3,3,0,2,2,0,0,0,2,2,0.176470588235294
"105",2023-05-31,151,"BP","E","trapnest_13","Low",2,18,4,4,0,1.5,1.5,0,0,1,1.5,1.5,0.222222222222222
"106",2023-06-02,153,"BP","E","trapnest_13","Low",2,15,2,2,0,3.5,3.5,0,0,2,1.5,1.5,0.133333333333333
"107",2023-06-05,156,"BP","E","trapnest_13","Low",1,14,2,2,0,4.5,4.5,0,0,2,2.5,2.5,0.142857142857143
"108",2023-06-09,160,"BP","E","trapnest_13","Low",0,17,0,0,0,1,1,0,0,1,1,1,0
"109",2023-06-10,161,"BP","E","trapnest_13","Low",0,17,0,0,0,1,1,0,0,1,1,1,0
"110",2023-06-12,163,"BP","E","trapnest_13","Low",1,17,0,0,0,1,1,0,0,1,1,1,0
"111",2023-06-14,165,"BP","E","trapnest_13","Low",0,17,3,3,0,2,2,0,0,1,2,2,0.176470588235294
"112",2023-06-16,167,"BP","E","trapnest_13","Low",1,17,1,1,0,1,1,0,0,1,1,1,0.0588235294117647
"113",2023-06-20,171,"BP","E","trapnest_13","Low",3,16,0,0,0,2,2,0,0,1,2,2,0
"114",2023-06-23,174,"BP","E","trapnest_13","Low",3,17,2,0,2,1,1,0.5,0.5,1,1,1,0
"115",2023-06-29,180,"BP","E","trapnest_13","Low",1,14,1,0,1,1,1,2,2,1,1,1,0
"116",2023-05-11,131,"BP","E","trapnest_14","Mid",3,12,0,0,0,6,0,0,0,0,6,0,0
"117",2023-05-12,132,"BP","E","trapnest_14","Mid",1,12,0,0,0,6,0,0,0,0,6,0,0
"118",2023-05-15,135,"BP","E","trapnest_14","Mid",3,12,0,0,0,6,0,0,0,0,6,0,0
"119",2023-05-16,136,"BP","E","trapnest_14","Mid",1,12,0,0,0,6,0,0,0,0,6,0,0
"120",2023-05-17,137,"BP","E","trapnest_14","Mid",1,12,0,0,0,6,0,0,0,0,6,0,0
"121",2023-05-19,139,"BP","E","trapnest_14","Mid",2,12,0,0,0,6,0,0,0,0,6,0,0
"122",2023-05-21,141,"BP","E","trapnest_14","Mid",1,12,0,0,0,6,0,0,0,0,6,0,0
"123",2023-05-22,142,"BP","E","trapnest_14","Mid",1,12,0,0,0,6,0,0,0,0,6,0,0
"124",2023-05-23,143,"BP","E","trapnest_14","Mid",1,12,0,0,0,6,0,0,0,0,6,0,0
"125",2023-05-26,146,"BP","E","trapnest_14","Mid",2,12,0,0,0,6,0,0,0,0,6,0,0
"126",2023-05-28,148,"BP","E","trapnest_14","Mid",2,12,0,0,0,6,0,0,0,0,6,0,0
"127",2023-05-29,149,"BP","E","trapnest_14","Mid",1,13,1,1,0,5,0,0,0,1,5,0,0.0769230769230769
"128",2023-05-31,151,"BP","E","trapnest_14","Mid",2,13,4,4,0,6.5,1.5,0,0,0,6.5,1.5,0.307692307692308
"129",2023-06-02,153,"BP","E","trapnest_14","Mid",2,12,1,1,0,6,3,0,0,0,6,3,0.0833333333333333
"130",2023-06-05,156,"BP","E","trapnest_14","Mid",1,12,1,1,0,6,3,0,0,0,6,3,0.0833333333333333
"131",2023-06-09,160,"BP","E","trapnest_14","Mid",0,12,0,0,0,6,3,0,0,0,6,3,0
"132",2023-06-10,161,"BP","E","trapnest_14","Mid",0,12,0,0,0,6,3,0,0,0,6,3,0
"133",2023-06-12,163,"BP","E","trapnest_14","Mid",1,12,0,0,0,6,3,0,0,0,6,3,0
"134",2023-06-14,165,"BP","E","trapnest_14","Mid",0,12,0,0,0,6,3,0,0,0,6,3,0
"135",2023-06-16,167,"BP","E","trapnest_14","Mid",1,12,0,0,0,6,3,0,0,0,6,3,0
