"","Date","Site","Subsite","Trapnest","Treatment","Cavity_size","Filled_length_mm","Straw_length_mm","Nest_ID","Cavity_ID","Status","Occupant","Good_days","Bee_choice","Available_prior","New_nests_os","New_nests_meg","New_nest_sum","Osmia_ps_prior","Osmia_no_ps_prior","Meg_ps_prior","Meg_no_ps_prior"
"1",2023-05-29,"BP","A",1,"Low","medium",NA,NA,"1_18a","1_18","inner wall","osmia",1,1,18,1,NA,1,"0","0",NA,NA
"2",2023-06-05,"BP","A",1,"Low","small","91","141","1_16a","1_16","2 cells","osmia",1,1,18,1,NA,1,"0","0",NA,NA
"3",2023-06-29,"BP","D",11,"Mid","small",NA,NA,"11_14a","11_14","inner wall","osmia",1,1,10,1,NA,1,"6","0",NA,NA
"4",2023-05-15,"BP","D",12,"High","small","115.52","142.83","12_5a","12_5","2 cells","osmia",3,1,7,1,NA,1,"11","0",NA,NA
"5",2023-05-29,"BP","D",12,"High","small","103.97","143.76","12_6b","12_6","9 cells","osmia",1,1,6.5,2,NA,2,"11.5","1.5",NA,NA
"6",2023-05-29,"BP","D",12,"High","small","116.97","145.25","12_15a","12_15","7 cells","osmia",1,1,6.5,2,NA,2,"11.5","1.5",NA,NA
"7",2023-05-31,"BP","D",12,"High","small","103.97","143.76","12_6b","12_6","6 cells","osmia",2,NA,8.5,2,NA,2,"9.5","1.5",NA,NA
"8",2023-05-31,"BP","D",12,"High","small","116.97","145.25","12_15a","12_15","4 cells","osmia",2,NA,8.5,2,NA,2,"9.5","1.5",NA,NA
"9",2023-06-02,"BP","D",12,"High","small","57.04","106.02","12_12b","12_12","2 cells","osmia",2,1,7.5,2,NA,2,"10.5","3.5",NA,NA
"10",2023-06-02,"BP","D",12,"High","small","83.98","144.81","12_18a","12_18","5 cells","osmia",2,1,7.5,2,NA,2,"10.5","3.5",NA,NA
"11",2023-06-08,"BP","D",12,"High","small","47.31","141.37","12_11b","12_11","1 cell","osmia",2,1,7,1,NA,1,"11","5",NA,NA
"12",2023-06-14,"BP","D",12,"High","small","21.9","130.53","12_9b","12_9","2 cells","osmia",0,1,7,1,NA,1,"11","6",NA,NA
"13",2023-06-20,"BP","D",12,"High","small","51.58","143.84","12_6c","12_6","1 cell","osmia",3,1,6.5,2,NA,2,"11.5","6.5",NA,NA
