,Trapnest,Date,Cavity_ID,Nest_ID,Status,Contains_cells,Occupant,Good_days,Bee_choice,Available_cavities_prior,New_nests_os,New_nests_meg,Osmia_ps,Osmia_no_ps,Meg_ps,Meg_no_ps,Osmia_ps_prior,Osmia_no_ps_prior,Meg_ps_prior,Meg_no_ps_prior,Osmia_ps_no_iw,Osmia_no_ps_no_iw,Meg_ps_no_iw,Meg_no_ps_no_iw,New_nests_sum,Cumulative_par,Number_of_cells,Prop_cells_par,Nest_parasitized,Active_bin,Sum_unsealed_os_no_iw,Sum_unsealed_meg_no_iw,Day_of_year,Par_and_unsealed_os,Par_and_unsealed_meg,Par_nests_unsealed_os,Par_nests_unsealed_meg,Other_nests_no_ps_os_indv,Other_nests_ps_os_indv,Other_nests_no_ps_os,Other_nests_ps_os,Other_nests_no_ps_os_V1,Other_nests_ps_os_V1
1,trapnest_36,2023-06-04,36_10,36_10a,pseudo,NA,osmia,3,NA,7,1,0,12,7,0,0,11,6,0,0,NA,6,0,0,1,NA,NA,NA,NA,NA,3,NA,155,NA,0,2,0,0,1,3,9,3,9
2,trapnest_36,2023-06-04,36_11,36_11a,no change,0,osmia,3,NA,7,1,0,12,7,0,0,11,6,0,0,NA,6,0,0,1,NA,NA,NA,NA,1,3,NA,155,NA,0,2,0,NA,NA,3,9,3,9
3,trapnest_36,2023-06-04,36_12,36_12a,pseudo,NA,osmia,3,NA,7,1,0,12,7,0,0,11,6,0,0,NA,6,0,0,1,NA,NA,NA,NA,NA,3,NA,155,NA,0,2,0,0,1,3,9,3,9
4,trapnest_36,2023-06-04,36_13,36_13b,3 cells + end cap,1,osmia,3,1,7,1,0,12,7,0,0,11,6,0,0,NA,6,0,0,1,0,3,0,not parasitized,0,3,NA,155,0,0,2,0,1,1,3,9,3,9
5,trapnest_36,2023-06-04,36_14,36_14a,empty,NA,none,3,0,7,1,0,12,7,0,0,11,6,0,0,NA,6,0,0,1,NA,NA,NA,NA,NA,3,NA,155,0,0,2,0,0,0,3,9,3,9
6,trapnest_36,2023-06-04,36_15,36_15b,empty,NA,none,3,0,7,1,0,12,7,0,0,11,6,0,0,NA,6,0,0,1,NA,NA,NA,NA,NA,3,NA,155,0,0,2,0,0,0,3,9,3,9
7,trapnest_36,2023-06-04,36_16,36_16b,empty,NA,none,3,0,7,1,0,12,7,0,0,11,6,0,0,NA,6,0,0,1,NA,NA,NA,NA,NA,3,NA,155,0,0,2,0,0,0,3,9,3,9
8,trapnest_36,2023-06-04,36_17,36_17a,empty,NA,none,3,0,7,1,0,12,7,0,0,11,6,0,0,NA,6,0,0,1,NA,NA,NA,NA,NA,3,NA,155,0,0,2,0,0,0,3,9,3,9
9,trapnest_36,2023-06-04,36_18,36_18a,empty,NA,none,3,0,7,1,0,12,7,0,0,11,6,0,0,NA,6,0,0,1,NA,NA,NA,NA,NA,3,NA,155,0,0,2,0,0,0,3,9,3,9
10,trapnest_36,2023-06-04,36_1,36_1a,no change,1,osmia,3,NA,7,1,0,12,7,0,0,11,6,0,0,NA,6,0,0,1,0,9,0,not parasitized,0,3,NA,155,0,0,2,0,1,1,3,9,3,9
11,trapnest_36,2023-06-04,36_2,36_2a,pseudo,NA,osmia,3,NA,7,1,0,12,7,0,0,11,6,0,0,NA,6,0,0,1,NA,NA,NA,NA,NA,3,NA,155,NA,0,2,0,0,1,3,9,3,9
12,trapnest_36,2023-06-04,36_3,36_3b,4 cells,1,osmia,3,NA,7,1,0,12,7,0,0,11,6,0,0,NA,6,0,0,1,0,4,0,not parasitized,1,3,NA,155,0,0,2,0,1,1,3,9,3,9
13,trapnest_36,2023-06-04,36_4,36_4b,1 cell + end cap,1,osmia,3,NA,7,1,0,12,7,0,0,11,6,0,0,NA,6,0,0,1,1,6,0.166666667,parasitized,0,3,NA,155,0,0,2,0,0,1,3,9,3,9
14,trapnest_36,2023-06-04,36_5,36_5a,pseudo,NA,osmia,3,NA,7,1,0,12,7,0,0,11,6,0,0,NA,6,0,0,1,NA,NA,NA,NA,NA,3,NA,155,NA,0,2,0,0,1,3,9,3,9
15,trapnest_36,2023-06-04,36_6,36_6a,4 cells,1,osmia,3,NA,7,1,0,12,7,0,0,11,6,0,0,NA,6,0,0,1,2,4,0.5,parasitized,1,3,NA,155,1,0,2,0,0,0,3,9,3,9
16,trapnest_36,2023-06-04,36_7,36_7a,pseudo,NA,osmia,3,NA,7,1,0,12,7,0,0,11,6,0,0,NA,6,0,0,1,NA,NA,NA,NA,NA,3,NA,155,NA,0,2,0,0,1,3,9,3,9
17,trapnest_36,2023-06-04,36_8,36_8b,empty,NA,none,3,0,7,1,0,12,7,0,0,11,6,0,0,NA,6,0,0,1,NA,NA,NA,NA,NA,3,NA,155,0,0,2,0,0,0,3,9,3,9
18,trapnest_36,2023-06-04,36_9,36_9a,no change,1,osmia,3,NA,7,1,0,12,7,0,0,11,6,0,0,NA,6,0,0,1,1,2,0.5,parasitized,1,3,NA,155,1,0,2,0,0,0,3,9,3,9
