"","...1","Trapnest","Date","Day_of_year","Year","Site","Subsite","Treatment","Good_days","New_nests_meg","New_nests_sum","Available_cavities_prior","Meg_ps_prior","Meg_no_ps_prior","Sum_unsealed_meg","DP_meg_prior","NDP_meg_prior","NDP_ps_meg_prior"
"1",1,"trapnest_100",2024-06-05,157,"year_2024","CP","AJ","Low",2,0,0,18,0,0,NA,0,0,0
"2",2,"trapnest_100",2024-06-11,163,"year_2024","CP","AJ","Low",1,0,0,18,0,0,NA,0,0,0
"3",3,"trapnest_100",2024-06-14,166,"year_2024","CP","AJ","Low",1,0,0,18,0,0,NA,0,0,0
"4",4,"trapnest_100",2024-06-17,169,"year_2024","CP","AJ","Low",3,0,0,18,0,0,NA,0,0,0
"5",5,"trapnest_100",2024-06-21,173,"year_2024","CP","AJ","Low",4,1,1,18,0,0,1,0,0,0
"6",6,"trapnest_100",2024-06-25,177,"year_2024","CP","AJ","Low",1,0,0,17,1,1,1,0,0,0
"7",7,"trapnest_100",2024-06-28,180,"year_2024","CP","AJ","Low",3,0,0,17,1,1,1,0,0,0
"8",8,"trapnest_100",2024-07-02,184,"year_2024","CP","AJ","Low",3,0,0,17,1,1,1,0,0,0
"9",9,"trapnest_100",2024-07-05,187,"year_2024","CP","AJ","Low",3,0,0,18,0,0,NA,0,0,0
"10",10,"trapnest_100",2024-07-08,190,"year_2024","CP","AJ","Low",2,0,0,18,0,0,NA,0,0,0
"11",11,"trapnest_100",2024-07-13,195,"year_2024","CP","AJ","Low",2,0,0,18,0,0,NA,0,0,0
"12",12,"trapnest_100",2024-07-16,198,"year_2024","CP","AJ","Low",3,0,0,18,0,0,NA,0,0,0
"13",13,"trapnest_100",2024-07-19,201,"year_2024","CP","AJ","Low",2,0,0,18,0,0,NA,0,0,0
"14",14,"trapnest_100",2024-07-22,204,"year_2024","CP","AJ","Low",3,0,0,18,0,0,NA,0,0,0
"15",15,"trapnest_100",2024-07-24,206,"year_2024","CP","AJ","Low",2,0,0,18,0,0,NA,0,0,0
"16",16,"trapnest_100",2024-07-26,208,"year_2024","CP","AJ","Low",0,0,0,18,0,0,NA,0,0,0
"17",17,"trapnest_100",2024-07-29,211,"year_2024","CP","AJ","Low",3,0,0,18,0,0,NA,0,0,0
"18",18,"trapnest_100",2024-08-02,215,"year_2024","CP","AJ","Low",3,0,0,18,0,0,NA,0,0,0
"19",19,"trapnest_100",2024-08-06,219,"year_2024","CP","AJ","Low",3,0,0,18,0,0,NA,0,0,0
"20",20,"trapnest_100",2024-08-08,221,"year_2024","CP","AJ","Low",0,0,0,18,0,0,NA,0,0,0
"21",21,"trapnest_100",2024-08-12,225,"year_2024","CP","AJ","Low",3,0,0,18,0,0,NA,0,0,0
"22",22,"trapnest_101",2024-06-05,157,"year_2024","CP","AJ","Mid",2,0,0,12,6,0,NA,0,0,6
