"","...1","Trapnest","Date","Day_of_year","Year","Site","Subsite","Treatment","Good_days","New_nests_os","New_nests_sum","Available_cavities_prior","Osmia_ps_prior","Osmia_no_ps_prior","Sum_unsealed_os","DP_os_prior","NDP_os_prior","NDP_ps_os_prior"
"1",190,"trapnest_10",2023-05-11,131,"year_2023","BP","D","Low",3,0,0,18,0,0,NA,0,0,0
"2",191,"trapnest_10",2023-05-12,132,"year_2023","BP","D","Low",1,0,0,18,0,0,NA,0,0,0
"3",192,"trapnest_10",2023-05-15,135,"year_2023","BP","D","Low",3,0,0,18,0,0,NA,0,0,0
"4",193,"trapnest_10",2023-05-16,136,"year_2023","BP","D","Low",1,0,0,18,0,0,NA,0,0,0
"5",194,"trapnest_10",2023-05-17,137,"year_2023","BP","D","Low",1,0,0,18,0,0,NA,0,0,0
"6",195,"trapnest_10",2023-05-19,139,"year_2023","BP","D","Low",2,0,0,18,0,0,NA,0,0,0
"7",196,"trapnest_10",2023-05-21,141,"year_2023","BP","D","Low",1,0,0,18,0,0,NA,0,0,0
"8",197,"trapnest_10",2023-05-22,142,"year_2023","BP","D","Low",1,0,0,18,0,0,NA,0,0,0
"9",198,"trapnest_10",2023-05-23,143,"year_2023","BP","D","Low",1,0,0,18,0,0,NA,0,0,0
"10",199,"trapnest_10",2023-05-26,146,"year_2023","BP","D","Low",2,0,0,18,0,0,NA,0,0,0
"11",200,"trapnest_10",2023-05-28,148,"year_2023","BP","D","Low",2,0,0,18,0,0,NA,0,0,0
"12",201,"trapnest_10",2023-05-29,149,"year_2023","BP","D","Low",1,0,0,18,0,0,NA,0,0,0
"13",202,"trapnest_10",2023-05-31,151,"year_2023","BP","D","Low",2,0,0,18,0,0,NA,0,0,0
"14",203,"trapnest_10",2023-06-02,153,"year_2023","BP","D","Low",2,0,0,18,0,0,NA,0,0,0
"15",204,"trapnest_10",2023-06-05,156,"year_2023","BP","D","Low",1,0,0,18,0,0,NA,0,0,0
"16",205,"trapnest_10",2023-06-08,159,"year_2023","BP","D","Low",2,0,0,18,0,0,NA,0,0,0
"17",206,"trapnest_10",2023-06-10,161,"year_2023","BP","D","Low",0,0,0,18,0,0,NA,0,0,0
"18",207,"trapnest_10",2023-06-12,163,"year_2023","BP","D","Low",1,0,0,18,0,0,NA,0,0,0
"19",208,"trapnest_10",2023-06-14,165,"year_2023","BP","D","Low",0,0,0,18,0,0,NA,0,0,0
"20",209,"trapnest_10",2023-06-16,167,"year_2023","BP","D","Low",1,0,0,18,0,0,NA,0,0,0
"21",210,"trapnest_10",2023-06-20,171,"year_2023","BP","D","Low",3,0,0,18,0,0,NA,0,0,0
"22",211,"trapnest_10",2023-06-23,174,"year_2023","BP","D","Low",3,0,0,18,0,0,NA,0,0,0
"23",212,"trapnest_10",2023-06-29,180,"year_2023","BP","D","Low",1,0,0,18,0,0,NA,0,0,0
"24",213,"trapnest_11",2023-05-11,131,"year_2023","BP","D","Mid",3,0,0,12,6,0,NA,0,0,6
"25",214,"trapnest_11",2023-05-12,132,"year_2023","BP","D","Mid",1,0,0,12,6,0,NA,0,0,6
"26",215,"trapnest_11",2023-05-15,135,"year_2023","BP","D","Mid",3,0,0,12,6,0,NA,0,0,6
"27",216,"trapnest_11",2023-05-16,136,"year_2023","BP","D","Mid",1,0,0,12,6,0,NA,0,0,6
"28",217,"trapnest_11",2023-05-17,137,"year_2023","BP","D","Mid",1,0,0,12,6,0,NA,0,0,6
"29",218,"trapnest_11",2023-05-19,139,"year_2023","BP","D","Mid",2,0,0,12,6,0,NA,0,0,6
"30",219,"trapnest_11",2023-05-21,141,"year_2023","BP","D","Mid",1,0,0,12,6,0,NA,0,0,6
"31",220,"trapnest_11",2023-05-22,142,"year_2023","BP","D","Mid",1,0,0,12,6,0,NA,0,0,6
"32",221,"trapnest_11",2023-05-23,143,"year_2023","BP","D","Mid",1,0,0,12,6,0,NA,0,0,6
"33",222,"trapnest_11",2023-05-26,146,"year_2023","BP","D","Mid",2,0,0,12,6,0,NA,0,0,6
"34",223,"trapnest_11",2023-05-28,148,"year_2023","BP","D","Mid",2,0,0,12,6,0,NA,0,0,6
"35",224,"trapnest_11",2023-05-29,149,"year_2023","BP","D","Mid",1,0,0,12,6,0,NA,0,0,6
"36",225,"trapnest_11",2023-05-31,151,"year_2023","BP","D","Mid",2,0,0,12,6,0,NA,0,0,6
"37",226,"trapnest_11",2023-06-02,153,"year_2023","BP","D","Mid",2,0,0,12,6,0,NA,0,0,6
"38",227,"trapnest_11",2023-06-05,156,"year_2023","BP","D","Mid",1,0,0,12,6,0,NA,0,0,6
"39",228,"trapnest_11",2023-06-08,159,"year_2023","BP","D","Mid",2,0,0,12,6,0,NA,0,0,6
"40",229,"trapnest_11",2023-06-10,161,"year_2023","BP","D","Mid",0,0,0,12,6,0,NA,0,0,6
"41",230,"trapnest_11",2023-06-12,163,"year_2023","BP","D","Mid",1,0,0,12,6,0,NA,0,0,6
"42",231,"trapnest_11",2023-06-14,165,"year_2023","BP","D","Mid",0,0,0,12,6,0,NA,0,0,6
"43",232,"trapnest_11",2023-06-16,167,"year_2023","BP","D","Mid",1,0,0,12,6,0,NA,0,0,6
"44",233,"trapnest_11",2023-06-20,171,"year_2023","BP","D","Mid",3,0,0,12,6,0,NA,0,0,6
"45",234,"trapnest_11",2023-06-23,174,"year_2023","BP","D","Mid",3,0,0,12,6,0,NA,0,0,6
"46",235,"trapnest_11",2023-06-29,180,"year_2023","BP","D","Mid",1,1,1,10,6,0,1,0,0,6
"47",236,"trapnest_12",2023-05-11,131,"year_2023","BP","D","High",3,0,0,7,11,0,NA,0,0,11
"48",237,"trapnest_12",2023-05-12,132,"year_2023","BP","D","High",1,0,0,7,11,0,NA,0,0,11
"49",238,"trapnest_12",2023-05-15,135,"year_2023","BP","D","High",3,1,1,7,11,0,1,0,0,11
"50",239,"trapnest_12",2023-05-16,136,"year_2023","BP","D","High",1,0,0,6,12,1,1,0,0,11
"51",240,"trapnest_12",2023-05-17,137,"year_2023","BP","D","High",1,0,0,6,12,1,1,0,0,11
"52",241,"trapnest_12",2023-05-19,139,"year_2023","BP","D","High",2,0,0,6,12,1,1,0,0,11
"53",242,"trapnest_12",2023-05-21,141,"year_2023","BP","D","High",1,0,0,7,11,1,1,0,0,10
"54",243,"trapnest_12",2023-05-22,142,"year_2023","BP","D","High",1,0,0,7,11,1,1,0,0,10
