,Trapnest,Date,Nest_ID,Site,Subsite,Treatment,Cavity_number,Straw_ID,Filled_length_mm,Straw_length_mm,Cavity_ID,Status,Occupant,Good_days,Bee_choice,New_nests_os,New_nests_meg,New_nest_sum,Osmia_ps_prior,Osmia_no_ps_prior,Meg_ps_prior,Meg_no_ps_prior,Number_of_cells,Cumulative_par,Prop_cells_par,Par_in_trapnest,Day_of_year
208,trapnest_1,2023-05-11,1_1a,BP,A,Low,1,a,NA,NA,1_1,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
231,trapnest_1,2023-05-11,1_2a,BP,A,Low,2,a,NA,NA,1_2,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
254,trapnest_1,2023-05-11,1_3a,BP,A,Low,3,a,NA,NA,1_3,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
277,trapnest_1,2023-05-11,1_4a,BP,A,Low,4,a,NA,NA,1_4,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
300,trapnest_1,2023-05-11,1_5a,BP,A,Low,5,a,NA,NA,1_5,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
323,trapnest_1,2023-05-11,1_6a,BP,A,Low,6,a,NA,NA,1_6,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
346,trapnest_1,2023-05-11,1_7a,BP,A,Low,7,a,NA,NA,1_7,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
369,trapnest_1,2023-05-11,1_8a,BP,A,Low,8,a,NA,NA,1_8,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
392,trapnest_1,2023-05-11,1_9a,BP,A,Low,9,a,NA,NA,1_9,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
1,trapnest_1,2023-05-11,1_10a,BP,A,Low,10,a,NA,NA,1_10,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
24,trapnest_1,2023-05-11,1_11a,BP,A,Low,11,a,NA,NA,1_11,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
47,trapnest_1,2023-05-11,1_12a,BP,A,Low,12,a,NA,NA,1_12,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
70,trapnest_1,2023-05-11,1_13a,BP,A,Low,13,a,NA,NA,1_13,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
93,trapnest_1,2023-05-11,1_14a,BP,A,Low,14,a,NA,NA,1_14,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
116,trapnest_1,2023-05-11,1_15a,BP,A,Low,15,a,NA,NA,1_15,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
139,trapnest_1,2023-05-11,1_16a,BP,A,Low,16,a,91,141,1_16,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
162,trapnest_1,2023-05-11,1_17a,BP,A,Low,17,a,NA,NA,1_17,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
185,trapnest_1,2023-05-11,1_18a,BP,A,Low,18,a,NA,NA,1_18,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
209,trapnest_1,2023-05-12,1_1a,BP,A,Low,1,a,NA,NA,1_1,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
232,trapnest_1,2023-05-12,1_2a,BP,A,Low,2,a,NA,NA,1_2,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
255,trapnest_1,2023-05-12,1_3a,BP,A,Low,3,a,NA,NA,1_3,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
278,trapnest_1,2023-05-12,1_4a,BP,A,Low,4,a,NA,NA,1_4,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
301,trapnest_1,2023-05-12,1_5a,BP,A,Low,5,a,NA,NA,1_5,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
324,trapnest_1,2023-05-12,1_6a,BP,A,Low,6,a,NA,NA,1_6,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
347,trapnest_1,2023-05-12,1_7a,BP,A,Low,7,a,NA,NA,1_7,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
370,trapnest_1,2023-05-12,1_8a,BP,A,Low,8,a,NA,NA,1_8,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
393,trapnest_1,2023-05-12,1_9a,BP,A,Low,9,a,NA,NA,1_9,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
2,trapnest_1,2023-05-12,1_10a,BP,A,Low,10,a,NA,NA,1_10,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
25,trapnest_1,2023-05-12,1_11a,BP,A,Low,11,a,NA,NA,1_11,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
48,trapnest_1,2023-05-12,1_12a,BP,A,Low,12,a,NA,NA,1_12,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
71,trapnest_1,2023-05-12,1_13a,BP,A,Low,13,a,NA,NA,1_13,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
94,trapnest_1,2023-05-12,1_14a,BP,A,Low,14,a,NA,NA,1_14,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
117,trapnest_1,2023-05-12,1_15a,BP,A,Low,15,a,NA,NA,1_15,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
140,trapnest_1,2023-05-12,1_16a,BP,A,Low,16,a,91,141,1_16,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
163,trapnest_1,2023-05-12,1_17a,BP,A,Low,17,a,NA,NA,1_17,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
186,trapnest_1,2023-05-12,1_18a,BP,A,Low,18,a,NA,NA,1_18,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
210,trapnest_1,2023-05-15,1_1a,BP,A,Low,1,a,NA,NA,1_1,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135
233,trapnest_1,2023-05-15,1_2a,BP,A,Low,2,a,NA,NA,1_2,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135
256,trapnest_1,2023-05-15,1_3a,BP,A,Low,3,a,NA,NA,1_3,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135
279,trapnest_1,2023-05-15,1_4a,BP,A,Low,4,a,NA,NA,1_4,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135
302,trapnest_1,2023-05-15,1_5a,BP,A,Low,5,a,NA,NA,1_5,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135
325,trapnest_1,2023-05-15,1_6a,BP,A,Low,6,a,NA,NA,1_6,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135
348,trapnest_1,2023-05-15,1_7a,BP,A,Low,7,a,NA,NA,1_7,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135
371,trapnest_1,2023-05-15,1_8a,BP,A,Low,8,a,NA,NA,1_8,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135
394,trapnest_1,2023-05-15,1_9a,BP,A,Low,9,a,NA,NA,1_9,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135
3,trapnest_1,2023-05-15,1_10a,BP,A,Low,10,a,NA,NA,1_10,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135
26,trapnest_1,2023-05-15,1_11a,BP,A,Low,11,a,NA,NA,1_11,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135
49,trapnest_1,2023-05-15,1_12a,BP,A,Low,12,a,NA,NA,1_12,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135
72,trapnest_1,2023-05-15,1_13a,BP,A,Low,13,a,NA,NA,1_13,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135
95,trapnest_1,2023-05-15,1_14a,BP,A,Low,14,a,NA,NA,1_14,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135
118,trapnest_1,2023-05-15,1_15a,BP,A,Low,15,a,NA,NA,1_15,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135
141,trapnest_1,2023-05-15,1_16a,BP,A,Low,16,a,91,141,1_16,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135
164,trapnest_1,2023-05-15,1_17a,BP,A,Low,17,a,NA,NA,1_17,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135
187,trapnest_1,2023-05-15,1_18a,BP,A,Low,18,a,NA,NA,1_18,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135
211,trapnest_1,2023-05-16,1_1a,BP,A,Low,1,a,NA,NA,1_1,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
234,trapnest_1,2023-05-16,1_2a,BP,A,Low,2,a,NA,NA,1_2,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
257,trapnest_1,2023-05-16,1_3a,BP,A,Low,3,a,NA,NA,1_3,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
280,trapnest_1,2023-05-16,1_4a,BP,A,Low,4,a,NA,NA,1_4,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
303,trapnest_1,2023-05-16,1_5a,BP,A,Low,5,a,NA,NA,1_5,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
326,trapnest_1,2023-05-16,1_6a,BP,A,Low,6,a,NA,NA,1_6,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
349,trapnest_1,2023-05-16,1_7a,BP,A,Low,7,a,NA,NA,1_7,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
372,trapnest_1,2023-05-16,1_8a,BP,A,Low,8,a,NA,NA,1_8,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
395,trapnest_1,2023-05-16,1_9a,BP,A,Low,9,a,NA,NA,1_9,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
4,trapnest_1,2023-05-16,1_10a,BP,A,Low,10,a,NA,NA,1_10,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
27,trapnest_1,2023-05-16,1_11a,BP,A,Low,11,a,NA,NA,1_11,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
50,trapnest_1,2023-05-16,1_12a,BP,A,Low,12,a,NA,NA,1_12,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
73,trapnest_1,2023-05-16,1_13a,BP,A,Low,13,a,NA,NA,1_13,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
96,trapnest_1,2023-05-16,1_14a,BP,A,Low,14,a,NA,NA,1_14,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
119,trapnest_1,2023-05-16,1_15a,BP,A,Low,15,a,NA,NA,1_15,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
142,trapnest_1,2023-05-16,1_16a,BP,A,Low,16,a,91,141,1_16,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
165,trapnest_1,2023-05-16,1_17a,BP,A,Low,17,a,NA,NA,1_17,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
188,trapnest_1,2023-05-16,1_18a,BP,A,Low,18,a,NA,NA,1_18,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
212,trapnest_1,2023-05-17,1_1a,BP,A,Low,1,a,NA,NA,1_1,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
235,trapnest_1,2023-05-17,1_2a,BP,A,Low,2,a,NA,NA,1_2,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
258,trapnest_1,2023-05-17,1_3a,BP,A,Low,3,a,NA,NA,1_3,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
281,trapnest_1,2023-05-17,1_4a,BP,A,Low,4,a,NA,NA,1_4,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
304,trapnest_1,2023-05-17,1_5a,BP,A,Low,5,a,NA,NA,1_5,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
327,trapnest_1,2023-05-17,1_6a,BP,A,Low,6,a,NA,NA,1_6,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
350,trapnest_1,2023-05-17,1_7a,BP,A,Low,7,a,NA,NA,1_7,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
373,trapnest_1,2023-05-17,1_8a,BP,A,Low,8,a,NA,NA,1_8,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
396,trapnest_1,2023-05-17,1_9a,BP,A,Low,9,a,NA,NA,1_9,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
5,trapnest_1,2023-05-17,1_10a,BP,A,Low,10,a,NA,NA,1_10,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
28,trapnest_1,2023-05-17,1_11a,BP,A,Low,11,a,NA,NA,1_11,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
51,trapnest_1,2023-05-17,1_12a,BP,A,Low,12,a,NA,NA,1_12,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
74,trapnest_1,2023-05-17,1_13a,BP,A,Low,13,a,NA,NA,1_13,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
97,trapnest_1,2023-05-17,1_14a,BP,A,Low,14,a,NA,NA,1_14,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
120,trapnest_1,2023-05-17,1_15a,BP,A,Low,15,a,NA,NA,1_15,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
143,trapnest_1,2023-05-17,1_16a,BP,A,Low,16,a,91,141,1_16,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
166,trapnest_1,2023-05-17,1_17a,BP,A,Low,17,a,NA,NA,1_17,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
189,trapnest_1,2023-05-17,1_18a,BP,A,Low,18,a,NA,NA,1_18,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
213,trapnest_1,2023-05-19,1_1a,BP,A,Low,1,a,NA,NA,1_1,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
236,trapnest_1,2023-05-19,1_2a,BP,A,Low,2,a,NA,NA,1_2,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
259,trapnest_1,2023-05-19,1_3a,BP,A,Low,3,a,NA,NA,1_3,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
282,trapnest_1,2023-05-19,1_4a,BP,A,Low,4,a,NA,NA,1_4,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
305,trapnest_1,2023-05-19,1_5a,BP,A,Low,5,a,NA,NA,1_5,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
328,trapnest_1,2023-05-19,1_6a,BP,A,Low,6,a,NA,NA,1_6,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
351,trapnest_1,2023-05-19,1_7a,BP,A,Low,7,a,NA,NA,1_7,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
374,trapnest_1,2023-05-19,1_8a,BP,A,Low,8,a,NA,NA,1_8,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
397,trapnest_1,2023-05-19,1_9a,BP,A,Low,9,a,NA,NA,1_9,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
6,trapnest_1,2023-05-19,1_10a,BP,A,Low,10,a,NA,NA,1_10,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
29,trapnest_1,2023-05-19,1_11a,BP,A,Low,11,a,NA,NA,1_11,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
52,trapnest_1,2023-05-19,1_12a,BP,A,Low,12,a,NA,NA,1_12,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
75,trapnest_1,2023-05-19,1_13a,BP,A,Low,13,a,NA,NA,1_13,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
98,trapnest_1,2023-05-19,1_14a,BP,A,Low,14,a,NA,NA,1_14,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
121,trapnest_1,2023-05-19,1_15a,BP,A,Low,15,a,NA,NA,1_15,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
144,trapnest_1,2023-05-19,1_16a,BP,A,Low,16,a,91,141,1_16,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
167,trapnest_1,2023-05-19,1_17a,BP,A,Low,17,a,NA,NA,1_17,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
190,trapnest_1,2023-05-19,1_18a,BP,A,Low,18,a,NA,NA,1_18,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
214,trapnest_1,2023-05-21,1_1a,BP,A,Low,1,a,NA,NA,1_1,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
237,trapnest_1,2023-05-21,1_2a,BP,A,Low,2,a,NA,NA,1_2,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
260,trapnest_1,2023-05-21,1_3a,BP,A,Low,3,a,NA,NA,1_3,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
283,trapnest_1,2023-05-21,1_4a,BP,A,Low,4,a,NA,NA,1_4,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
306,trapnest_1,2023-05-21,1_5a,BP,A,Low,5,a,NA,NA,1_5,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
329,trapnest_1,2023-05-21,1_6a,BP,A,Low,6,a,NA,NA,1_6,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
352,trapnest_1,2023-05-21,1_7a,BP,A,Low,7,a,NA,NA,1_7,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
375,trapnest_1,2023-05-21,1_8a,BP,A,Low,8,a,NA,NA,1_8,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
398,trapnest_1,2023-05-21,1_9a,BP,A,Low,9,a,NA,NA,1_9,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
7,trapnest_1,2023-05-21,1_10a,BP,A,Low,10,a,NA,NA,1_10,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
30,trapnest_1,2023-05-21,1_11a,BP,A,Low,11,a,NA,NA,1_11,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
53,trapnest_1,2023-05-21,1_12a,BP,A,Low,12,a,NA,NA,1_12,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
